symbol,date,open,high,low,close,adj_close,volume,source
CRUDE,2006-01-03,61.04,63.8,60.81,63.14,63.14,130635,yahoo
CRUDE,2006-01-04,63,63.65,62.26,63.42,63.42,105194,yahoo
CRUDE,2006-01-05,63.4,63.8,62.6,62.79,62.79,104035,yahoo
CRUDE,2006-01-06,62.6,64.45,62.6,64.21,64.21,110763,yahoo
CRUDE,2006-01-09,64.15,64.61,62.9,63.5,63.5,115558,yahoo
CRUDE,2006-01-10,63.38,64.2,63.05,63.37,63.37,111890,yahoo
CRUDE,2006-01-11,63.35,64.8,62.6,63.94,63.94,166379,yahoo
CRUDE,2006-01-12,63.98,65.05,63.85,63.94,63.94,111400,yahoo
CRUDE,2006-01-13,63.97,64.33,63.1,63.92,63.92,111400,yahoo
CRUDE,2006-01-17,64.82,66.35,64.6,66.31,66.31,117433,yahoo
CRUDE,2006-01-18,66.35,66.93,65.25,65.73,65.73,87073,yahoo
CRUDE,2006-01-19,65.85,66.9,65.25,66.83,66.83,64886,yahoo
CRUDE,2006-01-20,66.85,68.8,66.78,68.35,68.35,149990,yahoo
CRUDE,2006-01-23,68.45,69.2,67.6,68.1,68.1,84184,yahoo
CRUDE,2006-01-24,68.1,68.11,67,67.06,67.06,100194,yahoo
CRUDE,2006-01-25,67.1,67.1,65.45,65.85,65.85,138328,yahoo
CRUDE,2006-01-26,65.85,66.9,65.31,66.26,66.26,124697,yahoo
CRUDE,2006-01-27,66.49,67.95,66.35,67.76,67.76,112320,yahoo
CRUDE,2006-01-30,67.85,68.45,67.25,68.35,68.35,92440,yahoo
CRUDE,2006-01-31,68.4,68.65,67.35,67.92,67.92,118865,yahoo
CRUDE,2006-02-01,67.73,69,66.3,66.56,66.56,140025,yahoo
CRUDE,2006-02-02,66.28,67.19,64.4,64.68,64.68,150155,yahoo
CRUDE,2006-02-03,64.7,65.4,63.95,65.37,65.37,110816,yahoo
CRUDE,2006-02-06,65.6,66.62,64.9,65.11,65.11,97538,yahoo
CRUDE,2006-02-07,65.1,65.1,63,63.09,63.09,145683,yahoo
CRUDE,2006-02-08,63.19,63.49,62.3,62.55,62.55,150436,yahoo
CRUDE,2006-02-09,62.57,63.7,62.34,62.62,62.62,133578,yahoo
CRUDE,2006-02-10,62.64,63,61.2,61.84,61.84,146060,yahoo
CRUDE,2006-02-13,62.1,62.18,60.85,61.24,61.24,91961,yahoo
CRUDE,2006-02-14,61.18,61.3,59.5,59.57,59.57,132021,yahoo
CRUDE,2006-02-15,59.49,60.05,57.5,57.7,57.7,136092,yahoo
CRUDE,2006-02-16,57.7,58.64,57.55,58.46,58.46,93510,yahoo
CRUDE,2006-02-17,58.8,60,58.68,59.88,59.88,93510,yahoo
CRUDE,2006-02-21,61.25,61.5,60.5,61.1,61.1,114878,yahoo
CRUDE,2006-02-22,62.5,62.59,60.52,61.01,61.01,106291,yahoo
CRUDE,2006-02-23,60.91,61.15,59.7,60.54,60.54,122119,yahoo
CRUDE,2006-02-24,60.5,63.25,60.47,62.91,62.91,134353,yahoo
CRUDE,2006-02-27,62.8,62.85,60.85,61,61,93771,yahoo
