symbol,date,open,high,low,close,adj_close,volume,source
3MINDIA,2017-01-02,11199.9004,11233,10861,11056.4502,10124.8369,564,yahoo
3MINDIA,2017-01-03,11001,11150.0498,10880,10917.2002,9997.3203,393,yahoo
3MINDIA,2017-01-04,11013.9004,11042.4502,10780,10808.4502,9897.7334,892,yahoo
3MINDIA,2017-01-05,10801,11185,10790,11097.4004,10162.3359,569,yahoo
3MINDIA,2017-01-06,10986.4004,11421.5498,10980.0498,11305,10352.4443,830,yahoo
3MINDIA,2017-01-09,11530,11574,11250,11503.75,10534.4473,699,yahoo
3MINDIA,2017-01-10,11618.7998,11847.9502,11455.9004,11678.3496,10694.335,970,yahoo
3MINDIA,2017-01-11,11850,12840,11700,12511.4004,11457.1934,3521,yahoo
3MINDIA,2017-01-12,12599.7002,12800,12515,12579,11519.0977,1546,yahoo
3MINDIA,2017-01-13,12530,12620,12407.4502,12465.8496,11415.4814,702,yahoo
3MINDIA,2017-01-16,12430,12581.9004,12216.5,12455.75,11406.2324,404,yahoo
3MINDIA,2017-01-17,12580.25,12580.25,12520.7002,12548.1504,11490.8467,328,yahoo
3MINDIA,2017-01-18,12595,12595,12210,12298.2998,11262.0488,317,yahoo
3MINDIA,2017-01-19,12303.2998,12400,12200.1504,12282.7998,11247.8555,427,yahoo
3MINDIA,2017-01-20,12299.9502,12447.7002,12200,12293.4004,11257.5625,412,yahoo
3MINDIA,2017-01-23,12500,12500,12230.1504,12299.4502,11263.1025,357,yahoo
3MINDIA,2017-01-24,12342.5996,12401,12220,12393.1504,11348.9072,545,yahoo
3MINDIA,2017-01-25,12455.7998,12580,12399.9502,12546.8496,11489.6553,535,yahoo
3MINDIA,2017-01-27,12647,12647,12452,12475.4004,11424.2275,535,yahoo
3MINDIA,2017-01-30,12476.0498,12476.0498,11800.5,12173.7002,11147.9482,861,yahoo
3MINDIA,2017-01-31,12199.9004,12236.25,11841.2002,11957.5,10949.9658,551,yahoo
3MINDIA,2017-02-01,12010.5498,12044.0498,11359.5996,11763.8496,10772.6309,1323,yahoo
3MINDIA,2017-02-02,11807.25,11880.2998,11611,11676.1504,10692.3213,1269,yahoo
3MINDIA,2017-02-03,11611.9004,11769.9502,11450.1504,11601.6504,10624.0996,890,yahoo
3MINDIA,2017-02-06,11715.7998,12100.0498,11500,11985.5996,10975.6963,1394,yahoo
3MINDIA,2017-02-07,11865.7002,11919.9502,11632.0498,11892.25,10890.2129,425,yahoo
3MINDIA,2017-02-08,11800.0498,11920.0498,11755,11796.4004,10802.4395,1003,yahoo
3MINDIA,2017-02-09,11914.3496,11959.9502,11700,11790.1504,10796.7148,885,yahoo
3MINDIA,2017-02-10,11255.0996,11900,11255.0996,11511.9004,10541.9111,1908,yahoo
3MINDIA,2017-02-13,11600,11600,11211,11266.5,10317.1885,1153,yahoo
3MINDIA,2017-02-14,11379.0996,11466,11270.0498,11294.7998,10343.1035,856,yahoo
3MINDIA,2017-02-15,11407.7002,11407.75,11100,11130.2998,10192.4639,685,yahoo
3MINDIA,2017-02-16,11155.2002,11265.4502,11140.9502,11190.8496,10247.9131,393,yahoo
3MINDIA,2017-02-17,11190.8496,11299.9502,11004.25,11078.9502,10145.4414,618,yahoo
3MINDIA,2017-02-20,11080,11200,11000,11111.4004,10175.1562,479,yahoo
3MINDIA,2017-02-21,11112.0498,11200,11112.0498,11189.3496,10246.5381,645,yahoo
3MINDIA,2017-02-22,11120,11300.0498,11056.5996,11135.8496,10197.5459,779,yahoo
3MINDIA,2017-02-23,11135.9004,11224,11001,11038.1504,10108.0791,518,yahoo
3MINDIA,2017-02-27,11240,11240,11131.0498,11197.7998,10254.2773,696,yahoo
3MINDIA,2017-02-28,11298.75,11298.75,11151.0996,11164.7998,10224.0566,663,yahoo
3MINDIA,2017-03-01,11279.25,11279.25,11057.5,11098.6504,10163.4814,1732,yahoo
3MINDIA,2017-03-02,11200,11200,10951.0996,10985.6504,10060.0029,628,yahoo
3MINDIA,2017-03-03,10888,11079.9502,10888,10919.0996,9999.0596,446,yahoo
3MINDIA,2017-03-06,11028.25,11090,10705,10919.6504,9999.5645,802,yahoo
3MINDIA,2017-03-07,10975.0498,11138.5498,10760.0498,10820.2998,9908.584,1145,yahoo
3MINDIA,2017-03-08,10751,10949.75,10751,10789.9004,9880.7461,504,yahoo
3MINDIA,2017-03-09,10945,11050,10750,10882.4502,9965.499,1595,yahoo
3MINDIA,2017-03-10,10950,11195,10725.0498,10859.7002,9944.666,1941,yahoo
3MINDIA,2017-03-14,11150,11200,10905,11042,10111.6045,715,yahoo
3MINDIA,2017-03-15,11085,11168.8496,10999.9502,11078.4004,10144.9385,1214,yahoo
3MINDIA,2017-03-16,11200,11291.5498,11130,11187.6504,10244.9824,1995,yahoo
3MINDIA,2017-03-17,11240,11240,11000,11051.7998,10120.5781,586,yahoo
3MINDIA,2017-03-20,11052.0498,11142.9502,11000,11073.75,10140.6797,439,yahoo
3MINDIA,2017-03-21,11136.4004,11136.4004,11020,11063.2998,10131.1094,2208,yahoo
3MINDIA,2017-03-22,11039.9502,11090,10999.9502,11001.9004,10074.8838,2173,yahoo
3MINDIA,2017-03-23,11110.9502,11110.9502,10975,11019.4502,10090.9551,2154,yahoo
3MINDIA,2017-03-24,11019.4502,11100.0498,11003.0498,11044.3496,10113.7559,773,yahoo
3MINDIA,2017-03-27,11015.5,11078.7998,10990.0996,11028.8496,10099.5615,462,yahoo
3MINDIA,2017-03-28,11090.0498,11193.9502,11015,11152.25,10212.5645,775,yahoo
3MINDIA,2017-03-29,11249.9502,11250,10966.1504,11041.0996,10110.7803,1955,yahoo
3MINDIA,2017-03-30,11139,11372.2002,10980.3496,11243.7998,10296.4004,1779,yahoo
3MINDIA,2017-03-31,11324,12000,11201.0498,11567.5498,10592.8721,2308,yahoo
3MINDIA,2017-04-03,11760,11989.5,11602.2002,11930.9502,10925.6523,2067,yahoo
3MINDIA,2017-04-05,11899,12231,11813.9502,11858.75,10859.5342,7003,yahoo
3MINDIA,2017-04-06,12129.9502,12189.5,11870.0498,12153.1504,11129.1299,875,yahoo
3MINDIA,2017-04-07,12153.1504,12199.9004,11871,11998.4004,10987.4189,1094,yahoo
3MINDIA,2017-04-10,11895.0498,12060,11863,11941.75,10935.542,392,yahoo
3MINDIA,2017-04-11,11950.4004,12048.9502,11899.9502,12004.25,10992.7764,563,yahoo
3MINDIA,2017-04-12,12048.9502,12050,11892,12009.9004,10997.9502,836,yahoo
3MINDIA,2017-04-13,11865.4004,12150,11865.4004,12049.5996,11034.3037,3316,yahoo
3MINDIA,2017-04-17,12000.0498,12057,11870.3496,12002.5498,10991.2188,622,yahoo
3MINDIA,2017-04-18,12070.0498,12070.0498,11938,11974.75,10965.7607,246,yahoo
3MINDIA,2017-04-19,11800.0996,11942.9502,11800,11856.4502,10857.4287,375,yahoo
3MINDIA,2017-04-20,11975,11975,11802,11848.0996,10849.7832,1954,yahoo
3MINDIA,2017-04-21,11965,11965,11650,11685.25,10700.6543,1204,yahoo
3MINDIA,2017-04-24,11782,11782,11400,11553.25,10579.7764,960,yahoo
3MINDIA,2017-04-25,11668.75,11668.8496,11400,11434.75,10471.2607,1511,yahoo
3MINDIA,2017-04-26,11549.0996,11663.4502,11505.2002,11593.75,10616.8652,869,yahoo
3MINDIA,2017-04-27,11590.0996,11639.9004,11478,11593.5498,10616.6807,562,yahoo
3MINDIA,2017-04-28,11602.25,11667.4502,11420,11499.7002,10530.7393,569,yahoo
3MINDIA,2017-05-02,11400,11598,11352,11370.2998,10412.2422,406,yahoo
3MINDIA,2017-05-03,11428,11428,11265,11291.3496,10339.9443,54248,yahoo
3MINDIA,2017-05-04,11449.8496,11529.25,11300,11476.2998,10509.3096,375,yahoo
3MINDIA,2017-05-05,11500,11520.0498,11304,11356.7998,10399.8789,698,yahoo
3MINDIA,2017-05-08,11356.8496,11580,11300.0498,11539.1504,10566.8643,562,yahoo
3MINDIA,2017-05-09,11350,12449.9502,11350,11992.0498,10981.6025,3351,yahoo
3MINDIA,2017-05-10,12274.9502,12370,12100,12219.6504,11190.0264,1098,yahoo
3MINDIA,2017-05-11,12375,12550.0498,12115,12435.4004,11387.5977,4126,yahoo
3MINDIA,2017-05-12,12500.0996,12796,12336.0498,12609.25,11546.7979,1942,yahoo
3MINDIA,2017-05-15,12700,12840.9502,12700,12791.8496,11714.0127,1413,yahoo
3MINDIA,2017-05-16,12970,13950,12848,13811,12647.29,8825,yahoo
3MINDIA,2017-05-17,13894.9502,14490,13501,14130.0498,12939.4561,5985,yahoo
3MINDIA,2017-05-18,13985,14086.7002,13565.0996,13667.3496,12515.7432,2938,yahoo
3MINDIA,2017-05-19,13603.0996,13897.9502,13191,13294.0498,12173.8975,2144,yahoo
3MINDIA,2017-05-22,13350.0498,13450,13151,13199.0996,12086.9473,1308,yahoo
3MINDIA,2017-05-23,13199.5,13500,12801,13293.5498,12173.4395,1351,yahoo
3MINDIA,2017-05-24,13140.0996,13264.1504,12801,12887.25,11801.374,3251,yahoo
3MINDIA,2017-05-25,13016.0996,13130,12901.0498,13020.0498,11922.9854,1563,yahoo
3MINDIA,2017-05-26,13199.9502,14300,13150.2002,14034.25,12851.7285,16798,yahoo
3MINDIA,2017-05-29,14034,14344,13775,14001.25,12821.5098,4603,yahoo
3MINDIA,2017-05-30,14000,14334,13850.1504,14020.2998,12838.9541,1832,yahoo
3MINDIA,2017-05-31,14180.25,14180.2998,13576,13835.2002,12669.4512,2560,yahoo
3MINDIA,2017-06-01,13972.9502,14078.9004,13600.3496,13728.7002,12571.9248,2253,yahoo
3MINDIA,2017-06-02,13825,13964,13680,13711.7002,12556.3555,1171,yahoo
3MINDIA,2017-06-05,13919.9502,13919.9502,13710,13775.7998,12615.0557,731,yahoo
3MINDIA,2017-06-06,13890,13919.9502,13701.25,13786.9004,12625.2217,674,yahoo
3MINDIA,2017-06-07,13788,14004.0996,13788,13983,12804.7969,843,yahoo
3MINDIA,2017-06-08,14092,14150,13802.25,14013.8496,12833.0469,1204,yahoo
