symbol,date,pe,pb,roe,debt_to_equity,revenue_growth,earnings_growth,profit_margin,dividend_yield,market_cap_cr
UNIONBANK,2026-09-25,6.6865,0.9859,0.1580,,0.1640,0.2740,0.4046,2.7900,137557.6000
UNITDSPR,2026-09-25,59.8990,11.2920,,4.6110,-0.1020,0.1120,0.1492,1.1900,101097.7000
UNOMINDA,2026-09-25,58.5296,10.2979,,37.7400,0.2380,0.0120,0.0580,0.2200,70335.5000
UPL,2026-09-25,22.5430,1.3383,,57.1280,0.1050,,0.0382,1.0900,46494.9000
VBL,2026-09-25,43.4800,6.7551,0.1685,15.8690,0.2040,0.1570,0.1404,0.4600,147070.9000
VEDL,2026-09-25,11.7025,2.0947,,48.0440,-0.3730,0.7220,0.2321,12.7100,104004.4000
VMM,2026-09-25,54.4737,6.5123,,26.8170,0.1870,0.2500,0.0661,,48487.8000
VOLTAS,2026-09-25,82.3417,5.8027,,15.5100,0.1870,0.5200,0.0300,0.3600,36999.5000
WAAREEENER,2026-09-25,18.8245,4.9682,,21.4020,0.7920,0.1420,0.1270,0.1600,71769.0000
WIPRO,2026-09-25,13.0382,2.0942,0.1613,27.3980,0.1060,0.0090,0.1392,4.8900,162270.6000
YESBANK,2026-09-25,18.7500,1.3527,0.0747,,0.0900,0.3080,0.2319,,70625.4000
ZYDUSLIFE,2026-09-25,26.8428,4.4683,,42.3040,0.2200,-0.3590,0.1578,0.0800,120089.5000
