symbol,published,source,title,url,sentiment
INDHOTEL,2025-05-03T07:00:00Z,Value Research,Indian Hotels Co. Q4 FY25 Results Preview: Growth with Margin Pressure,https://news.google.com/rss/articles/CBMipgFBVV95cUxPZXJZbW5sQlhXTjF0VnpJdkxjX3R3VmxTMDZrTVp3dkpzMDhfUnJPM3pLSl9XeVdwUTZJVlVFNHdpOHFScDZzaEIxdXVzMThGNXV2UktTbTd6OS1RUGR5azBIYXRZN0xmVXdQN3JTVjkwRFBlQ2lBbGVPeUhxUmRuLTdpSS14eS1ENDNvVl9wOENvemxjWS1zTnJRQm1URDFua2dESVdB?oc=5,0.8022
INDHOTEL,2025-05-05T07:00:00Z,Livemint,"Q4 results today: Mahindra & Mahindra, Indian Hotels Co, CAMS, J&K Bank, Bombay Dyeing Co, Coforge, and ZEE on May 5",https://news.google.com/rss/articles/CBMimgJBVV95cUxOdzJGRlFDSllZdGxDTy1vOWNsNkxJMWNzV2dZNTN2QjVxaUI3MW9jU0Qwd1FqSFdJdVkza1V1aGI3cEN1NkQ0RzN5QWlpUmhMeEVNaHNhZ3NpT3NPcXhiX0EyMHk0enN6YWRfc1hTdEpPRDhTb1lIRlFqdkl4Y2VxcVo1T3h6TWMwZ1Z1OWNyYWczN1dvaFZJOHliX2E5VFJZZVZwZFpNUGNEdktkN2o2MkxhSUJndjFWbTJmNV9KQTB5N28wZFBnamNCTEdmMEZHNWZNdU9RZG9mYWlJbzVYenBJMkVxamZyZTdDY2FCRVNSbWJCUEhrcS11b2dDUHhwTUJ6Y3g2d2U5QXUyb2p1RmxfOVZrOEIzN1HSAZ8CQVVfeXFMUFlZR3lSOGR5YzJxNm9sUmtYWVZfUXprV2JwS2RCN0RodHllWDhrcUpFd2pCZnlmSTBNMGhXeFNObXVnMGR2bDJCRXRxM3FCa2s1OUM5YjZtRk9MaUZuRnQ0aUtxbnlfc3lvR2hTdFhNdHVZcTlkUlM3Y3Y4Y0lPM3B3Nl9ING1fa29pclFmdDBRTWhMRXp3bUdoano1cG15QXE5cG9NSHlYT1NwdG9ndDNwaC1BSlhHZGVOV0llNlZPUkNyWVEtRmc4bFFjaXVuQWhmbGU5R0xIZXRlck9wbU9lWEQ4S2R3bmN4UG9kWFZiWFZOc1ZNZk01WXlkOXZ5OV9GZUowYTRIZGJ1RW1haG9oV210S2NzZGVIRW4zdGM?oc=5,0.0246
MAZDOCK,2025-05-19T07:00:00Z,fortuneindia.com,ideaforge to Cochin Shipyard to GRSE: Defence stocks surge up to 45% post Operation Sindoor; will this rally continue or hit a roadblock?,https://news.google.com/rss/articles/CBMiiAJBVV95cUxPOUIyYlhGemVxMFlVaTdmd0puNV8yZmt1aUNBUGpNemRDUmpaa0JjYkRndzk0YVB1OWoyMzFJaXVoRUN2UXlZZFlUWXA1cFJONmx4el82RkxuVUJvbVZhdk5uSnRiR0RDeTc5elpsNmhZQnVsQlpLTTBROGcyYmZJa3JETzZhb1VYeWVua2NITFpZUDFpZ1FFV2h6YjJsZm5SX1FkQXl5TXFTcVdpSGRUb1Jfb3U1Rm5KZmZ4THlCZEcwY0RxVjY2dTdNMnpSZXRlUnk4MEVWQlVWZkJfNFlKa20tYWxhVWFQXzF3akZnLTNpaGZHcDFQOXVIRXhtTzg2eGlYQS1Vem3SAZYCQVVfeXFMT0F0ME1zeUNaaTIxMlNvTHJSYlg3bzhIb3gtNmh3WnFoQTdGVC1HcVBNZFJReFU4c3Z1Z1dlaV9VVng2QU1UbUpuRnhIN25pN05qNDhhRk1kQ1NiTnZTc1JWN2RoeDd6b3JXZzFQUm96dVFpZzBlWDVfV1V2eEpSTW52TXcyVlZwYnJYcUZvZ0VPR21ENnk4Q2stM0JEOFBrQkRQUXRNOFBlRW04SnFWNk1KSXlQM25GNmhTR3JhMGNfQWctVEZtT0l5N1dPcVlweFR6ZkdGSzRKUUxqZHZoREViVlhVb2g3ck9pX1N5aEVMMUJmM0xoZTMtYkY5X0lSVVJ3RXhmRWlLaklSNHZiOWpEbG1WR3c?oc=5,0.9219
GAIL,2025-05-21T07:00:00Z,shareprice-target.com,"GAIL Share Price Target 2026, 2027, 2030, 2040, 2050",https://news.google.com/rss/articles/CBMiZEFVX3lxTE1iLVVrMzFmX2d2OVlWX0dvY3MwRDQ0cjUtQkZQOEI1QnJTb1pvNy1NRTJ4ckZwZGNJQVl5WDF6emdLWlpKVThwNVFTQkRHRlRpMmF1ZDA0NU5PLWNfR0xfczJtRUk?oc=5,-0.0102
INDHOTEL,2025-05-29T07:00:00Z,Business Standard,"Amfi rejig: Indian Hotels, Mazdock set for largecap tag; Swiggy to bow out",https://news.google.com/rss/articles/CBMi1AFBVV95cUxQX1J6SHY5bFNkOFNLb1lCOE0yTmFrXzhUYW5rQ2Y4OExOS09ROGVxc1JBTENiZElRVWNxNUVzdUJ3bDBjekFfcmE5Y1FqdUhXcUxvcmFNdEEtMkJBajZ0TUU2Y2xralBSZ3pVWjhXRnhuallUSzVvMF92X3BVMnRjaGdCTVVTV0xKRDBBa1l1RFpDXzllcnI0Y21ucE5WUVJqbXNfMHVsSHdicXNiSDJyci1MbkxGWlR1ZTdLOTl2N2M4MEpsdGVqeUUwdU9IUmpTd091eNIB2gFBVV95cUxORUZSZWJmbk5vbGJaMmtIVk1qTzZPenVuLUFJd1FlLTg0WlFRRU5GR0M1QlhDUkltY1Y1UE1zUzlyc2RMS2FCSkVLd0pMemgwYU44Y0NxNHB0OW1OZXJSelNYcnR0NFZOMl90cFhCTnhVZDlEQk04eDdtdnlRb21GYTBHLTI5U2poZXIyN01xTHJQVENoQzNTenJvUm1vbTc2ZVZRTWRMcG5OQ0NZRXNWOWpZRzRLU0FVUEtuUmgtNXhJWXBWSERMTHEwZ0FvVEdmSkloNENJSlhZQQ?oc=5,0.0968
