symbol,published,source,title,url,sentiment
TATAPOWER,2023-01-06T08:00:00Z,Livemint,Tata Power shares: Key positives that could drive the stock higher; brokerage bullish,https://news.google.com/rss/articles/CBMi7gFBVV95cUxPM0RLY3Q1S0JFSWRIOGhkNmVqdkxySXlOMnFSTnZlTEpzem9rbnJmRTgxZWJhdzVXVlpOM0xpRUVVemlrcGdWaDl1Vlk0ejFqdUx2bEM1cFFFRERQVHBEZGVHZVVHWEtMS1pwLTJ1OUlwUnRRalJ4dWg0VEk3Ti1EUUFpSkJpdDg1aE8zMHJoUXRTc2tnOHNFY1l6Y0pOdEhWYlM2c2lta0VQdXdsa3FXcEw2VHQzMVUtOXFrVEhCVDR0a0FEX08tMEptSFRGYmNhZFV6T204SGxCdXVPU2syWkNTeDJoQTh3T1p4amJB0gHzAUFVX3lxTE5vYVpOLXF1cGJ0R1BuT1Z4N0RqWUF0Y0wxNGVjM1FCaDFfcXgxZEJNbkVNSHVOSW9ZTjVWVndhbkpXRGY2NVZ6UmtOWDRoSGpzU2dsSVQySGVHTS1YbmJFTkRXYlhWcGl5ZDVVaTdvQ1hCeEJRMkx2OGJQd21naGlxVWsweWgzUVcxeGRWYnJjMjBIWmpDVWx3Q2dzVUN1N1pWU3h3Rm56YTk4RVF1NHJRU2ZPVTV4YWVER1NHM0pkdEl2Qnh0TDFvZ01aMUJTdTh2SDJiNUNHc2J1b0g4SkR4TVpPZEtKSkZYY2VGMTVEc1FxVQ?oc=5,0.9176
TATAPOWER,2023-01-11T08:00:00Z,Livemint,HDFC Securities upgrades Tata Power shares' rating on expectations of healthy Q3,https://news.google.com/rss/articles/CBMi7gFBVV95cUxOT1pUVm14V2VQQkZSOWZVS3AxazNQRUtQeDk0NG1pbzh2OTFxR3lldjNmNDFMX3F2TDJHMTg5WlgyeDlvcG5NVndGelVBRS1EMlUtb0hFQnpFcXBfS3lkaWdLajBSVEE2dVQ2YmJncWg3Y0hqS2tSSnU4NzlQeEJCcmc2Y3g3MzQ4bGZMcElrMUowRVZoamJaY1BtbUFocXpXdFNUTHFwSW4yVzNpTnJTWnJpQTBQWEtjMkRjdlRtbFY5VExZVzZONm94REZBVDBFT3ZQSC04WUZrVTdkT01jMG9jM3dJemJtQkFxMFRn0gHzAUFVX3lxTE1TUnVENDREdHE0eFo2dHNweHJZc05qcG40dTFKRzVFME1TNDlWdHQyaTUxSVlXTVFHUnRnVkNiM19pVThsY1lHMG5pZy03a3Rfal9Dc2NmaHJ1azJEODFHbEZuRHRZOEhGdUVGUF9fakMzT2xUckc1SGxoWGhwWFZUeUxqQVpua3Q3bFRYbjV3WThzUHBDUjVJd19zNUNjd0RPNnVRZjlRRmR1ei1EMGN2TFVnbzZPWFZlMFAwNVJ6cmFzcm5XUzJOU1B6UXNmS1d2Y0hnc3UtbC1BeXp6OUNHd2NoVTNkbzdBRnkxc1RlOTVaZw?oc=5,0.9253
INDHOTEL,2023-01-31T05:47:06Z,Business Today,Goel Food Products Ltd Share Price,https://news.google.com/rss/articles/CBMigwFBVV95cUxNeVc1MUJIRXZ4UHlkMnNncnVPaFVrSWFySWFlVGI1OUtzaDYyWS16TGJaY0hQbDdiVWRhMHdSWWZqdk9Sa0JnbHhSbmw1VVU3c1FIbUlBa2V2alpDdWZORjl6Z2pLZVpmQlJmUzVWTThfRnR2ZHRKckNCamRyNEhjNHBWOA?oc=5,0.0063
