symbol,published,source,title,url,sentiment
POWERGRID,2022-11-08T08:00:00Z,CSIS | Center for Strategic and International Studies,Responding to Russian Attacks on Ukraine’s Power Sector,https://news.google.com/rss/articles/CBMihAFBVV95cUxQOENPWUxQbUMtR3RZZ2Z2MWdYZ25USVVZYmVXSWtLSms0MGphZ1NodjJyYVYwZXF3WW1PLV9rQWEtZ2lKa0xqaFFkdGZNbVQ5ZVhrX2tqdmpQNXp2OUp5R0RqeUdEeUVWVnFHQmI1MEZRQ1FYbDVoX25VSFNLek94YWNEbFk?oc=5,-0.2305
M&MFIN,2022-11-10T08:00:00Z,SCC Online,Khaitan & Co advises Mahindra Finance on proposed acquisition of 20% of the share capital of Mahindra Insurance Brokers Limited by Mahindra Finance,https://news.google.com/rss/articles/CBMinAJBVV95cUxPVnh0YmZKdDZFbUlEbU9NZEdVOU9yc08wY1I3OGt0eV9yZGtqd1ZoSzNRY0pmck5YRFNwU1JUN1VPVXBsbG02VV83NVQ4QkZaQ1FYaWdFUDg0YWlmUTBrWHk4V0tNbVJkRW9mbEUwcnZfNXJxbzlSQ2FCU29UeWJJTGRSUmV3amhsSWU0dTEwMFZTLXJzSTdpLWQxeXBSNEpUODlBb3M3TFZMdEtWQXQxR3FlbDBNVG9abmt6enJKVFhEWTVZUkN2QXJ0REtwUmU5TjdEWkxaNTdxXzI3Y2tzS0JIR0dxa190ekVQVFhTNF9td1BhOGZydW1ldzhVZEN2SGl3YkJsZFFEZTJISVg1bFRlU3owcDhLM21JSQ?oc=5,0.0820
AJANTPHARM,2022-11-16T08:00:00Z,lokmattimes.com,Six industrialists from the city feature in top 1000 richest Indians IIFL list,https://news.google.com/rss/articles/CBMiugFBVV95cUxOeEQ3SlRoNWR2bHRBUHlSRTFYU3JGU0N4eGNRbDc1dmhqY2Y3aVktUWhJd0Nvd2xQTnVpSF9MWV9DSlhjS2NJWHpxV0wxZk5CUEt2MG1NdVBJZjBrNGd1b2JOeW5kWHdYR0tYQ2F1bmpZT3ZzVm5BZVVfdTVhdUhjcjk0aElLd0JKaEszOVBBY3Y1aDZSMENiak5Qc0VBNjlLT3Z0OS1oQnlDeUxNc1JRRmQzTHlJb3VCaFE?oc=5,0.0343
MEDANTA,2022-11-16T08:00:00Z,CNBC TV18,Global Health shares list at 19% premium over issue price,https://news.google.com/rss/articles/CBMisAFBVV95cUxNeHM4Z25RNHBocF9PUV9pYU9sazM0ekxIdmZLYnVhVWtvSXNhVWpEcTBYTHBvbUZWSEpobFZrcXFyVzJIeGdWNElPNEstb3pwakxPcDV5NUxDdnQ5QS1oZzZndXBiYzB2QnprRkNoYkJtZFRiRE1fNy1oeHBuTDZkWXNZUnh5NXRjelBmSzFBT2lmVGtEWV80U29jMmxVRlFlVlN0azAwMlp1MlB1WFE5d9IBtgFBVV95cUxPUV9hajZZRVgxVGlqMjBSVnJVa0VoYzljWk5OcVRqaVp0T1ZIV1JSTnZrNGVnS1BYV2VTQmRXMzBKWTJnSHc2SHFuTHZuM1dmU0ZCZjFRdVg2WXNxSkl6SEkxSFhaYkxJLVVtSGVlbXlDbE1QNjlOd3Ywa3dLNUJDUG1URHJtdk9XUDY1RTFqTURLb2VzRzVnMjhiY1RFV1ZjemtsMG4weXNyTnhuaElVRTZXV1lwdw?oc=5,0.1137
MEDANTA,2022-11-16T08:00:00Z,Livemint,"Medanta operator Global Health IPO shares may have a positive debut, say experts",https://news.google.com/rss/articles/CBMi0AFBVV95cUxPR2pvaG14RmhodUFER180Z2FldmJ3X1hORWpZRU9BbURoVl9ja2tMRExCdUd4ZHNLYUFiNkxLVmVxM3R6bng5RlY3RE5xa0FSOEdLcnVjRTZRNHpZY1R0bVk2QjVFZjBzWVQ3TElKdy1aQk43Qm9uYUMwb1YtdHF4c003a0dHcFdsUG5fTldGSXV0MVpmNk9FSkd0N3RUZVhQY20wYkc0MFRzN1VKczNiUDJFV19JTTdudzhnWmNXQkprN3dOMHhnc3Uta0dycGlG0gHWAUFVX3lxTE5QcWY2akxjbU01ZkhDZEZmTXRxYVVkcklHVFNvRGhUUGdrYThtT1dOMTBoa3JWLUhzVXZITExFSWY2aVU4Ym15cERjeXlIQzZEYlVmSXF3ZFhmeE5WUWlDeS00dHNhVm11dzZyd2s2bWYwSjR4R1BzRXJGMlpuTkprd0l4Y1U4MldROTVjWWdsTExzQnlHMkQ1SEZjZGw1cXNYS2lqQ2tmYWZpcHBzaDkzc0U5MjBweWVPVnNON2c3RjNSSWhic0lseVRnVm54S0hIc0NoRmc?oc=5,0.9369
