symbol,published,source,title,url,sentiment
BOSCHLTD,2026-01-01T08:00:00Z,Upstox,"Bosch, Samvardhana Motherson, Sona BLW: Auto ancillary stocks jump up to 8%; key details to know",https://news.google.com/rss/articles/CBMi5AFBVV95cUxQclBDUFdqeFNlMjdUOHc4Z3dJcTIzSjE4NDYxY0FNa0VVTXEzcjVlRE05Z3RoaG5Na2E0dmo2aml6R0pfaWtidWZDT2FlMXo0aTIyeUtjb1AydnotdUt3eGZtM1R5STZSUEFVTTVnNXhqSWFzeDJQMWZZUFp3MXBKa3MzVTg2ekQ3QmRpb0VId3NkbzQ0WGd2NDFMQ3k2VjRyWlFKNG5KS3QzUkJ1T3h5RjFYR0JEQmhXNUZ0STZpc3lsbkp5aG5raFpfaG5EdkVRVHZOOVdKT05YendMdjd4Nzdqano?oc=5,0.9120
PIDILITIND,2026-01-01T08:00:00Z,simplywall.st,Is Pidilite Industries (NSE:PIDILITIND) Using Too Much Debt?,https://news.google.com/rss/articles/CBMi3gFBVV95cUxPOFBlT0dEZW1saWVFd1d2VjFIRnBycnZSSGY0cVh2aUkyeFFkVnlMekdJNHJ2bjJ0MHJ6aFRoRXhhdm9TQmZlaTZNZTZFYXlCcmhfaE9tcU52eEhJeGx6cGtZN1huMldwblZ6cVNXbU8yWVRZVFN4aUU1bjhDck4xREczOXFFNGFReDlDalUwTWU4SlZiZVF4Ti1iMWNNQmZ6UzAtcnY3ZTUzVlJsZGxXRnZ0OEZEeU96OEJ1SVdxaW9TblpBSW5PenVjemkzSUxfSTFDRi1lNmFlNnJpSVHSAeMBQVVfeXFMUHk2ai0yTHljS2liS0VLdF96V0RmbVZjM3F5OUJwSUdFbE5PUG9EcmRqWHRFU0JNRmpNUlExYmZ5NlBhZjBoUkg0dDd3NkMyclJVSFNIb01OUURMc2FqM1AxZjMzSFg4d1M0Rll5bTF5VzZpVER2Znp1NVYtQ1dZWlU2ZXhDUmNya3ZSbF9WUUV4cl9UUkVlbVdLalc1SkUzSG54bDdpMTh4LW1ydFlMUWxzZ3hNNUExODZaZWhnQXMwSkJsZG80dWwzcjVaNWowT05pYnRzSnotRVJzNHJaQk5ybzQ?oc=5,-0.7725
BOSCHLTD,2026-01-02T08:00:00Z,Business Standard,"Bosch, JBM Auto, Igarashi rally up to 12%; why are OEM shares in demand?",https://news.google.com/rss/articles/CBMizwFBVV95cUxPWlhjN1hKN2RuazI4eFI4RGVXemRMcnBjX2lsQTN1UEgyLWNBcF9RcURHN25SY3lWRWxwTFBHYUpJSVRMQVVYMWgzUUdobzl3eW1YOXRRRlppZ3RWbGtZd0NoOGxJWFJRcHU5dUFEbW9sSGVRX1RJd0NpemFFNS1RTFowSzFrU2hsLXdRRkpXUTk5UUFoWnRISHNuaEZJUTZfWjZLdi1TQ09ZU0ZhZVdyOUpjV3hLOGVFMXpIUDNLcXM5VHFtYjIxREhnWHhtdkXSAdQBQVVfeXFMT2VJNmVoREVlLTh6NTkyNkZGQm9SSDVIQUxjY0JweUd5R1dwT2J4MzJkdmZqaFdSU3ZlMmVtWmh2NExuQzhybzdZcndpR1AxNFp2RGdRWTZnbmNvRG9PVVZ5MFhyQjhtX0oxWmpFU0E4NTY0YjZrbEFKMVFXSDJJa0NJVUlYNnJGMnBKb3FoYmItcjBYc3RDYXRCWkI4ZVlVTGlGbUdMT2J3S2djWXhBWjk2RkxWR3Z0NGp6RDJ5bF9tQU9ObEpwZTN4NzYtRFdzaHFiNVc?oc=5,0.7271
HYUNDAI,2026-01-02T08:00:00Z,Business Standard,Hyundai Motor share price hits over one-month low; here's why,https://news.google.com/rss/articles/CBMixgFBVV95cUxNR3ByckRDQUxiUUpfaFVyWnVORG91NEF6dG1nOHpJSFlmV2RYeVpCYjRDdVRYczNhWURwRjM0cVJFbmRhTVpvZVFWbTM0ZGJUSHczenVQMlVCSk5peGtseVpweFdwWk9CWUctYkFUN1oxSDNDMFVac2JJS1FLSjRtdGFYbDJ3Y2FTOVpIR2ZEazdNODR2VFRyMXBHZ1Z3N1JMNlhmYUM1OWpLeTVfN2dPdWxMMWNGaE9UN1UzdGwxZFhVS1l2bGfSAcsBQVVfeXFMTTFHcHBISzJralBwYm9BdEZ1SlJCUW1VRHZJVldiTFNBQVlvc216NEJzem4wV1BBLXJudFlIUzI0ajlYT3lFM3R4c3REYnEwdzBFS0R1TlhYUWZZWmlLcDV3aXd6OXdLNmNnYmd1UkNjZnBWWTF3WGFmNzNRNHdSQU5NNzVPa09RWnJjZ1YzMmF2N2QxS0Y4akFGNEZ0YWR2Zy1QTFBUQUw1QTVOZkdOUEU2RGFDZWk0eHZJdXpMS1huYkJQWWQzX0RmU3M?oc=5,-0.7658
IOC,2026-01-02T08:00:00Z,simplywall.st,Those who invested in Indian Oil (NSE:IOC) five years ago are up 292%,https://news.google.com/rss/articles/CBMiygFBVV95cUxQdVlNc0JlcGEyQ05vZzduTUVqMl96WU5sSnY5MENrU2dwNWQxUzdCS09ZbTYwTnhSQ1NQRUlSZGNhX1NPTVFLVEtmanNnNHRpOHF4bGFNUTN4bi0wcnM4MVdHV2VPN0JOVEhLc0RhcE9UNEFIejN5QlJ0YnVELW5xcWZyWUtYcTVnR3Fza2RIWlRveHVIb0JTa0lPX0otZUI3T1lPUkRMS3VINWNyUXQwTWd2azhCSlF3UmdkTHVPdHMwWXBmREdfeGNB0gHPAUFVX3lxTE0wX2hnWVJmT0t3NWVtNmVRMWgyUGNNR1hpaDZlX2U3NlE2QkROWXZ1bjUyaE9ZMG5MYXdoRGIyenk2TGJFVWhCamhKbnpPQ1RtTWhTUEFmeks3eVA2S3hLNWxjenRHbmxQaGE3ZFhTbE9jYlBkNjJ2V3pic0tKekZtRWduU045NmFFYUJQZThHWEJoQ3YzYTFiaXVDX3dwYmQ4dm50OFZpTGlDdlU4UFNRdzBiWHVqRjVJQjJjd3BiSU5YYWdNblV5VlY2NkI0UQ?oc=5,0.8188
PFC,2026-01-02T08:00:00Z,The Economic Times,"Power Finance Corporation - PSU dividend stars: MSTC, Coal India among top 10 stocks in yield chart. Check more",https://news.google.com/rss/articles/CBMiigJBVV95cUxQem54eGNZSThnT0ZzRkhGOFNxdVNBdkkzMmhUZGUzWlpWT0xKS0hnWHBQQlpRMDNnWFI1UW43bWFMZjZtaTgxWC1RWjZoTDNrYVVoVVpiOHhKNkw0OXlxTTcxc1hIbVo5UmxmaDg0Z3ZZZVEweXRuaGhtTEI4TExzcl96V0ExcGZZakhtdm9TeUhkTU9sbHhXelRRb3RlekFnczEwbEcyWVpLay1ERG9rellIMHdyOWxFTm5fa2dIQ3pScmhhUDZHN3hXS1B2NndIay1TUFg4VUJpNlhUdlg4cGhVd3hjSlVoaUk5c1dFTXFta2U0Q3A1X2pOVWtkUFFTQ214WlN6Y3Nudw?oc=5,0.1146
INDHOTEL,2026-01-03T08:00:00Z,simplywall.st,"With 66% ownership of the shares, The Indian Hotels Company Limited (NSE:INDHOTEL) is heavily dominated by institutional owners",https://news.google.com/rss/articles/CBMi4wFBVV95cUxQbjJtbnFBNEFpUjM3b3RteG1pMzhydTBUX0QyY09mWGp1ODJpTU9ZdEU2WHJiZ1RfWEVHUWozYWplelNVUDE4aE9fSU9DLXFoVjY5VUxma21hUTdTMWZ6djNGYmZOWWpYcV8ycS1UN25fejdUUWhUYlNoUHpoc2FRNU5jX1JzcXlrcjBWS0dLRVBST05yNlcxZzBNT1dOUDRGdEtTWmVyWnpMS0F3ejlFWkNmQzNRbV9yR3pZdkEydjU2VktWdzNhblIwbndLaG9mNjBuWF9uV0NveXBiUm1NWVBZUdIB6AFBVV95cUxQck1ZT2VJRjVaRVMycU8wdjYxaWZCeDNQd0huanFBbE1PaWxNTWVWQzZFQkloQlE4ZUo4Z0ZlRnlwdldlc05qaHBwVHBjaFFaOHczWFFwUGg0ay1SQmxveHpOdUNEUkNsbW9JR2UzbTRQb3J5dm90c2F3VFZicmVtaFhUUE9VMU14Q2VGNVJ4S1BYd3ZZb2huTXZmbkRzMDJpVkNzVWZPZDRKSDg5VFhTbnVqMEtPZzNrX0FWdFR4SEthaFVRWVhXTEpRV194c2Nvc0xsa3RNNGktdTNfWV9la2NOSnNtSzd6?oc=5,0.0389
PFC,2026-01-03T08:00:00Z,Equitymaster,Where Will PFC Share Price be in the Next 3 Years?,https://news.google.com/rss/articles/CBMiuwFBVV95cUxQMVBXenBEQ3hheFE5Nm1RN2RQeHoxckRQTVJXcDdDb29QYzRSR3RzbllsX0JlU1V1aExacVpwdlZ2X1FQY2FqVTVNcWpQSGl5cDlDakJ0V0hPNnFwWHc1c3k0dXRkdENCUW0tRDI3dU9xT01WUHU0WURsdEd6QXhmNHFKdXNpVzk1WHgtQUNkbGVtSHU3bjV4NldMaGlkeXJfMlA2SVc0QTF4dFdkbkt4YTFtckJXZFF1ZmZZ?oc=5,-0.0215
POWERGRID,2026-01-03T14:44:53Z,cnbctv18.com,Power Grid Corporation of India Ltd. Share Price Live Today,https://news.google.com/rss/articles/CBMilgFBVV95cUxOQnhsQk8tdVNOTkt1aDFadzlSTm5Zell6Z1JCOGh0LUJIMGZvUXhrcWdScDVZUU5xcWEzRWZLVlY5UWZKQkRlNUdQM1BlNVVEUU8xX2ZKLWtCWG9NLU1QLU1lcTBEZjhUc184T3k2b01pV1VIWWxoaHF1bmc2MTlKZkRHM3pzZzhoZU43RUN3R3ZOZDlUU3c?oc=5,0.0189
CGPOWER,2026-01-03T15:33:46Z,cnbctv18.com,CG Power and Industrial Solutions Ltd. Share Price Live Today,https://news.google.com/rss/articles/CBMilwFBVV95cUxNdk5nRjJwelFHeHVJemVpWFNxVlhQZ2VFaklhR1I4anBMNkVmQzVLQjc0eGR6UHR6a0JVcnN5QnhWdHU2dDBpbUJuMF83Z1VKbzVzUjFVTDZ2UXh2NThjYTZNMWZKZ0o1anBFVWdVaHliMUVIam5ONXhVRXpzc0cwMC12TnRXUHlSVDlnTmlGTjFIMnZuRndF?oc=5,0.0045
MAXHEALTH,2026-01-04T08:00:00Z,simplywall.st,Is Weakness In Max Healthcare Institute Limited (NSE:MAXHEALTH) Stock A Sign That The Market Could be Wrong Given Its Strong Financial Prospects?,https://news.google.com/rss/articles/CBMi6gFBVV95cUxQMWM4M21yb21jcUVvNnhNaHM0V1dqQThGRnNnZmpwWWpoYTU0YkZEZ2JveTI4enQ1LUFsNzVkVlBQa3l1N2VpMEUyWW42Tlp4dFZybl9PTlNSWTg1M0NpSUlKaDFJSkt4OFVyeGFXV2l6NFc2NkxBcE84X1RmUElMOTIwSW42YmozRlQ1MlZfNFdzX2VSVkJtNU92dGhqLUYxMDJlbDRpOWtwYjBRcG1tTFlMZGNQNEpxQUdqS0tYcFFZSmMwdUJXS3p6R2Q1WUZFZUMtbENUMlNmZG04anFrZVNPcHBtdkI0TkHSAe8BQVVfeXFMTVFidFhjd2ZleXlEdmRmWGp6RVE2MjJLSVhEZC04aThHcjd1ODQybWFuTVBxTWJLMk10ckY4d3ZqbVB5Z056c2ZKMk9tYmVTd0J0aGVlb0c4TjM5VERlbjROQ2JodW1pODJ6eTEzRkxMeV9kUVJfbjE0R1VsNDU0X1A4Q0Q4dUlHMVNYTHNiZmVfMlZucFlpWmh1OFg0bkE5OVZqYUxNTERyUjM4Z19aU0hyQzcxUTJyVFlqNTg3bEl5cEMycVRQcGF6RWdPQm5VREFrVWJOYjRnMmJlSWNyUGkzNnVxYWVpMkxUZms5WG8?oc=5,-0.9357
