symbol,published,source,title,url,sentiment
APOLLOHOSP,2026-02-01T08:00:00Z,The Economic Times,"Budget 2026: Max Healthcare, Apollo Hospitals, other stocks rise up to 4% as FM boosts medical tourism",https://news.google.com/rss/articles/CBMiggJBVV95cUxObTRCR3lGYVNoZ0FGNUhJSHdwVGpFNDh6WHBYU21TUWcxRUpuSVpWSmJtS25rdVhpVEI4N0gyeWN5VWUzd3BvTVhxX1dUUml3cjZvQXdrQU5zeHNPMkVTTjR0TWptck9tSFVGWDRUS2pqd2FKLUJRUGQ5WFNYMTlHRGxpbzFlTHBiLXhxeE94UE5sQ1hTaENpNlJ3N3Zid1cyUUN3V2p0VWJBNUMtWWxFTUp1Tl9yalB5S1Z4YnF1NkpyaHdfdWItMmc1emxlSEI0LWVRN3VfT2V1OWZjekplUDI1dkxzYngxaXBUWGdqNUM5NGVrN29oXzZCbXgyb2lqWmfSAYcCQVVfeXFMUHptQ0VLdHFzMmhpNGk5S3U2NWw4SnJ4SkJPM2NCM1RxdC14N3J1M0RIVjVOZjV5VGpWMmtYVlk3MWpCRkdmY2ZMLW83VlMtME1ybGRrUGRRbjJXYnp0djdBY1BfaVd2LUNaWFhBc1dWZlo3Tml0WjI5SnQwZ09FaEFYQVloaVc3dTFfWURUYUpJWFhWMTNlanlocGdqOWh3VWd4c0FqS0lPUmNYUnAxZ1lfVFk0dWMyWkZGTTVNejBjd1ZTOExlckhEZlUtbXZ3bVlSNEVDN2tJYVlkc0ppck01NXVMYUdWZjl0WlEyWFktRnp4R2wxeDZDcXZiQmZSTlJzN0pndlE?oc=5,0.9273
PIDILITIND,2026-02-01T08:00:00Z,simplywall.st,Pidilite Industries (NSE:PIDILITIND) shareholders have earned a 11% CAGR over the last five years,https://news.google.com/rss/articles/CBMi5gFBVV95cUxORDluWERJR0gxNVQxckFzeTVGSU9wc2Vwa1dLalZmMlhtX2RFOER2bGpmeGdlV0NlOTZSN1pSNmstSlZfZmRnSGlMZV95REpYbzB3Vk11TXlOR2V6TW9pRG5tSV9rdTlmZDZUbjkzdnlFR2E1bEtEOUFhdl92OGd6LU9rWmc4MUNqYTVtUWFIUWF5OGxSckktT0dzVWpIWGpUaE9jTk1pUGJobXNxNENIbVdlZm1kbEJYNDNEUnN2azBDU01GNmczUDFKd1dSc3Vocl9ublFaRjNSQWRoQm5zb3djbEtld9IB6wFBVV95cUxOM1prWF9MXzBXUWNsVEswTnRTLWNyaE1HbnExdHNISUtpQTZiQmwwMHctaUVoQTIwM3doUGV2MWktc0lwM1FjWXZOQlRGT3d5TGN5SWZjV0JKSDBSOTlQMXZtUDBIMHFXcWZLdmprNnRzY3k4RFc0YUJ6YUNSWi1LRGZoQXE1UllMZkZCUmNpZW9peFJmZjJhcWlrdWRFUWpLYVUwSXVIbDZWRlVXbjlMMHgwQWhOWGJrWnlSZlNFaExkT1pMd2U1Vnc1QWc0X3E3OHdIaDdvSGRjOFIxeVlzYmhxN3F4QU41bDY4?oc=5,0.6373
JINDALSTEL,2026-02-02T08:00:00Z,Moneycontrol.com,Buy Jindal Steel; target of Rs 1290: Motilal Oswal,https://news.google.com/rss/articles/CBMiqAFBVV95cUxNdy1UOUF3eURlR2JQWVIwMzZILWJlQ2Q0cGJTR3V5OTVMWktsaEZMT1Fkdzc2TGk4TlZtdWFEdHNveWpvbWExUVhsOXp0WWhzYVlWUzJRT2FGSkRlaU95dlNzQTlxaE5md1I0YlpqbWN4T0Q4cjQtU0pkRzktM3RFcTJRekF0Vm5zblIxSHBvNUZuQTcyMHQ1U2p0WnFzN2t5TFNSM1EyaFDSAa4BQVVfeXFMT0RNMUxJNGY3VnlwLUJrLVMzWUZoU2EwRWVoNlhiMzFIOGhYUWMzMWZXa2tXcUNsVUFXb2ZiQy1nTkREVll3WWV1bm5tMTV0RVFGUG9tZjVITDYwai1LVnFzbmhjTk1KaGdIWGVwS2tPRFZzTVEwckl1a0N6MzJwOEItQTZiaWxHbnRqTUNyRXZRbXg2NEVpT21fY1p2UjVJckZiTUZIMnlWaC1JQmJ3?oc=5,0.0564
LODHA,2026-02-02T08:00:00Z,Moneycontrol.com,Buy Lodha Developers; target of Rs 1335: Motilal Oswal,https://news.google.com/rss/articles/CBMirgFBVV95cUxPaDk0dFNPbWVmSmhMYjR5aUoxOFNXbUJtbEF2VkZsMlA3LVNtaXRyX0xITzlCRFVvcXhlaHE3clRoT1FocWdTQUFBSVBjUmEwMmZId1ZkWHdabkF4dnZBQlhrMjBjVWFOVk0xT0pfWElsLUh0SlNiTzV0WnMwal82bDhGb0ozY2Z0RnVacmpadTg4SmNNemI0OXB1TXZRUDdZWDhTOWlDcjlRZS1adlHSAbMBQVVfeXFMT2k2bi0yb2RkczQ1eW12MEloaFN5ZlREUFd6VWhTRkVwSzIyVEg2UUJsZEh5RkpKZXRlNFdhV29ybjJxZUxpRVF5QmhlbHdzR05WMTdVbHd5ejVOYy1JZW1raGxSWUZNNE53TEEzWGhaVnlHV0dkUW9HcUZmTEI1Z0haUHFrczlIeXpPd25SYUl1ZTdlV29rcVJRWjl1RUp5czJLSTlkNzZteFJITXZmbnVjYzQ?oc=5,0.0500
PIDILITIND,2026-02-02T08:00:00Z,Univest,Pidilite Industries Q3 Results FY26 Preview: PAT to rise 3.34%,https://news.google.com/rss/articles/CBMid0FVX3lxTE1rSldMM29GSDgzUGRfRlNjbkJyaFkzaUpXTjJkYWtNMjVJSS1qYnkxWnJraEhSQ3kxWkFpT1lSUkZJeEc3S0hrb3poZ251VUk2d1ZxNmh6bjJuU3lKS0tsYVdNc2FCZFdoVGhORVhFMk01Vm5sVTBJ?oc=5,0.9298
BRITANNIA,2026-02-03T08:00:00Z,simplywall.st,Britannia Industries Limited (NSE:BRITANNIA) Stock's Been Sliding But Fundamentals Look Decent: Will The Market Correct The Share Price In The Future?,https://news.google.com/rss/articles/CBMi8wFBVV95cUxOM195LUUyQ1VJV29Ec3FDeHVxbHpMc3RPdEcyVGZ6SUdWZDlzTld2Wkwzc2RTNENzUVQxV2F4Sy10cEhGQWR4cUdBTWt0eFlFUkFKN0ZjODc5U2ozOGhpWUEzN0RENW1md2p1V05tbENTVzVNcGgyUnBmeXVMajdzQUJKbUIxOHZOZFJFb3hSNUEzVVdsMElqQjEzc2xxRFg2dGJQX2ViOTZIYXg2V2EyZlJLczFvRUhBRERJNThEbmUxc0VUblZ3OGs4dlZDemVRZ3h5TDc3Si1GSk1oNlM5OVdwWk5vOFZjR0ZLdm9ETkpWWDTSAfgBQVVfeXFMTWJ5OUdFdlkxTng1MzVWUzMtb05qNW9BS0dqMTBsVXhZZ010VE9TR0VXVDZhaDhBa3h1ZUJRRldOMmpMUW80Z040NWJjSTF0dlpqelVuaFd6R1p1aklSSTJ2MzVWQWZ3WUhNZjVFbFZNNWNiMUFib1owLWJTQnl3UkpJNjhFdE82dFB6MHhYLVJKR2o1ZWtDUUpnUDZsc0tyZDZUYnNJUEdtVDdqNlN5Y0U5YzhqTjhVc0JiTGNNM3FhOHMxMFI2WW9PWnVwTF9FMUNISkh4SnowTEhIWmZaeEV4MnRyWmU1cVVXdC01RjFuWU5mS0ZlRWc?oc=5,-0.9005
CHOLAFIN,2026-02-03T08:00:00Z,BusinessLine,"Cholamandalam Investment on track to reach FY26 AUM growth targets, says CFO",https://news.google.com/rss/articles/CBMi6gFBVV95cUxOb0JSZ1FyV2NVUThPWS05VlRsV2c0VFd2Y1lzT1FqNjltTHV3YTVwRUxsRmJBclFNQ2wybDV0NkNKcXlJLWRIV1dLcnVaTng0Mkx4czRfZ2RFVHRzZWZJNGRuZXhEV1dSMi1uYVU2WFNPYm13enNzOF9xdmVwYlNQT0tTd2xEcGJXdDJ1SEh2R2tYd1F6aHkwaXJILV9QZF9FTW14dlhSUHFLaW80cVJSbVVPZmlXa0FYYmtvM0VfemxXYTdVSy1GU0VpZHlpNzloSkk5UEJmYnNwZnhSZnZBc1dPc0tSYkxoNWfSAfABQVVfeXFMUFYyUFp5bHc2X1RSbmZPNW4ySm1sSzRJWm94ZS1FLTU5RUdubmhld0RvRElKSTVqTzYwMTh4VFNETkdkT3Zxc1ZmM1c1QzhLai03SUVUbEFVck1Jaldlel9QM2lDbnc4dFo0RDZ4ZDRqakNHS3dvcFpUNzNnalFDOGRBYi1xdWZIQmt6RXd6Y01Da2JIMVpYbWVZSlFmWWlGU3FvNjROY254SFd6em5UR1p4c0M3Q2FjVFg2Q2hRcXh5MThJd3dZRXh4QTdwWEw5aHQ4SVlmWjlhbVItZzRnWHBDbVEzSTVROVlKTkhTTExF?oc=5,0.9172
GAIL,2026-02-03T08:00:00Z,BusinessLine,GAIL shares swing after Q3 profit slump,https://news.google.com/rss/articles/CBMiugFBVV95cUxPNDB3ZXI0c21UUFR6VkdRalhHZkJRMEViMXZrQmd4NWZTNzNqWVBlWVNKYTZ2RUZ1eS1mRGdteTR4dVZhSHFpLUY4dXVNcGV6aDVra1F4OElCRVRRc3IzQnZhMmJ0VkNIWld3NE1yeEFtVVNkVFpNaEtXQ2FnSlczQ1gxalpqZ1d3NFNIZVRGd2pyU1lKb1YxaTViV0RCNlRsNmctLThkOEE1SjRuYkZhdUFrd3NyOXh6eFHSAcABQVVfeXFMTkZiNFdaYUF3anlURzdiTGxWZ1VCVWFKQUplUVpEVU1mRFJCVHFCdktDTDNuN0lKMDMzMDJLbUx1LWVfbEVDNW9MMXJHd1F1eTBlck04WmlFZ3BfVzJLcnlXVEs4Qng2WDFObjVreE5GVVVSSmxxcWhUbnBfX1VMdjhJYWZwbGRqSEF2SF9fRXo0T3hJWjh1VmtnVU0tVlctUUEwWEpNZWF3V1pGN1plU1VPN1lTa1JjNUJCbDNXdElz?oc=5,-0.7542
HAL,2026-02-03T08:00:00Z,Upstox,Here is why Hindustan Aeronautics share price plunged 6% on Wednesday; check details,https://news.google.com/rss/articles/CBMi1gFBVV95cUxOSERxZU9WTUc1YUdWT3lNNmZQX0FSWVpSNm5wQWlGbTg0cjVwaG02bHFhdmNGd3ZpeDV4QmVUa0RhTk83R2UtZ29pYjNwUFFPSVVIWWYzYU5taHVFczR3MVhWSFg3X1dpay1uYVpOaXpVZDZEX25oNEdDYlNhYW1OUjBfRzVwakFYSGxvU1ZBcVhjMnY1a2U2T0d3elFSZDFmYUVpVDN2WFRVT2VpVXRHMlVtcEE5Zk1XWUZVeW13bkJPR09LQW5EMFUtVDQ5a1M0d3B5ZmF3?oc=5,-0.8044
HYUNDAI,2026-02-03T08:00:00Z,Business Standard,Hyundai Motor Q3: Brokerages cut targets; model cycle seen as key catalyst,https://news.google.com/rss/articles/CBMizgFBVV95cUxNa1JKVEZhRzlHa1BvRTNEeFpLbkpJVHBORUJHTlc1aFZZYkhtMGRYb3lLa3VxZDdWaTFnd1l3RHRzTDFJVVAtYkdZTVRwNFFEUVNMX0JkajFRSmZuT2hmX01ZcW1EaTBrdF9FZ1ZRQjA3S0w3SHN6a3kxUzdxbFVNWWdVNjdWNjduYmg4OVdyanZlZDhqRnVpRjhEalBtY21ET1BNRkJVVHkwNTdlOVJra3pOZjZFMm1IdTBoc0drR0pkQmNjQ0RGUGRiZDhTQdIB0wFBVV95cUxQakN4aXJRSkRaWWNUMTNHTnFfem9Xc3plOUR0eE5HVEpfSThkRDFmSHJqUjQwem1IMWswV3hwcWg5MF9LUGt1Ymd4b3JWRjUyLW5PMTBMbERPeTRPTnFyTXpCYlU0VXlMYXl2ZVNDSGxQTXZvdWkzWEtZN012Q0dOWDB4RjduczlYbmhSUkZSRl96b1N0SmJ5UVBmZjRXVTZIdjV3VUhPREN4REdzRE5YOURqTHZqVFp5Q0FfdlhfY215cVZGRDdKRjZKVGcwbnEzWVhz?oc=5,-0.8860
