symbol,published,source,title,url,sentiment
GAIL,2024-02-05T08:00:00Z,zeebiz.com,"Dividend stocks this week: ITC, GAIL, NTPC, BEL other shares to trade ex-date",https://news.google.com/rss/articles/CBMi6wFBVV95cUxQdTlNblJxM0k0R0lfWTFQVUJqclI4aUN2bmNGc1hseHpEY21JMlJIWlJNSW1VMTMwZVJzRWtva3A3QnpLeHNPNTJIWWxFLW5YcWFKaWZNaTcyYUFDaXJlTFZITXZ2UDJWS05DU2NVWmJReDJJeDFKUm1DSGh3T0otQXRHMW5KOFVfdVBua0NYUjhZZktuUmI3Mm9LQTVjdnIyb1o5NzJLdlRIU0pzUjNtYkV0ZEVlWVRVSUZKaERNQjVUZFVQYlBrMTBPMkJzLVcxRnRJRjRrZUlVbmxtaERzVHpkVTM2SXJwQlZn?oc=5,-0.0533
GAIL,2024-02-06T08:00:00Z,ET Now,GAIL dividend 2024: PSU stock turns ex-date today; check amount and other details,https://news.google.com/rss/articles/CBMiywFBVV95cUxQSHNROHkzM0U4TWMwWmluR3NOalhxYlpSczU2SDhkejVtOUszVzFqUHBJcm9FektDWGxXLWd6QlQxaE1QazlnT3VFUVdULXVraF9CLUw3RVFCSmd5Rkwzd2x4R3VTMnVUOVVNYmZadlJ5NHJlTG9NWlkwckhfSUprc2k5cHFtYVFHREcwOWFQQnZ4UzNTb29kOEI1aHJBSjNYZzZVclFVdnptZ0ZMbFJKbmIzZmxhM2lCUUpZQmZDbHdKNllneE1lX2Z4WdIB0AFBVV95cUxQSW9TemlfQkQ5TTZwS1QtSkNiYWhCZ0lxN2gxcEd5ZTBEN3RxUjRsVlRkNUxfNEFHVkZ4Mm5DeFhqeXp2T2FPUUpnOG50SmdZbjdhdU41NGFPTHRsQlB5bkd6Ti1mOTR0dngzNzdWSUNYMUp3Ml9VTkVBbzh2eGcxUmdBaGhXWVdldUJtSzVPZThUNHpEOTRYcUdJQUozRlUwRk9ueG1telZvMUpuVVFuVDM1azUwVGRBWlRSYWM2bGItejdIQUk2aVhUVmY1ZlhG?oc=5,-0.0332
3MINDIA,2024-02-08T08:00:00Z,reuters.com,3M India posts smallest profit growth in nine quarters as costs bite,https://news.google.com/rss/articles/CBMiqwFBVV95cUxNZTVZemJfU3pGMEtxc0ZUU04ta0FHM3ZIMllfaEJzTjZsSU00US1EekxEaW1iODNkVUQ5Vmd6dW1SV25sb1hYQ2dnVmtqOUlGcXFfT1Jad2IwLVB2MGx6TENONFZUX0NOQTRMajJHMmp4NDdKWVJ3X05uSk1QSnA2MFd3bXQtWUFNeXI2UHk1WWQ5bjRpNWgxNW52eEhoWXJqZ0tnNTUyb1lyLVk?oc=5,-0.6551
SCHAEFFLER,2024-02-19T08:00:00Z,Moneycontrol.com,Schaeffler India slips 4% after profit slumps 9.25% in Dec quarter,https://news.google.com/rss/articles/CBMiyAFBVV95cUxPMlJJRks2RU96MHNUcExIWkttTmVjSERFazUtTTZtMG5jX1FLTS1TNkZLUTZQT1R3NFZaLUM0dzMzaU5MQ1o3UkJoRHcyUXVlNEpiQWM5d1ZpVVFGOFZXcDRZb0c5ZGVXeHBtTnpsQWcwQlFkTnluSGlYUEhCUDFwck5rRHFTRGtXOWhuQWpPSm1hRkQ1c1RzRGUyMXNEYVdJWUtrZ2Uza0VUNW5yekNWcnpMeUNVNUxKUThFNkFNUGJneG9BMllnU9IBzgFBVV95cUxOUVhncFNiUU5XLTFGclB5b2hzWmk0Z1ZjYktfYU51QXUzcHNNVkJSQW5nSk14UFhpa2pfX3pGY05yMHZvUjRjTTZRQTZLM2NUcXFoWk5saFVjMnA1U21jQWlya0tsakRfclg2LUpaVGtCc1J6NTY4QzB4T1pZelpfeXhrdm1HUFdBZXJwUTRSV2UwTEluVm1reDlCQVVPbUxlZ2xaTERBN0pCRmozZk9BTEVoRGlzSnNxcU02UE9oOXlUNURtdngyYnNFUDYtQQ?oc=5,-0.9625
INDHOTEL,2024-02-27T08:00:00Z,Livemint,"From Moscow to St. Petersburg, luxury hotels hope for Indian managements",https://news.google.com/rss/articles/CBMiygFBVV95cUxQNWtfZlRpcW9JdHhyM1gwcWNnLU1ReVc2QnR6azVDZkdiWFRpN2hyMUwzb19XMGxadnVUNmpNUTBheXBoc3g1NHhuNXFIWDlseUZleURpSWRoc0JFT0dLa3EyRjM2Tk9EcXNLc2NzWEZHdlhJVzNxZVkwbzhoVTJIMFFJWHdVa2haUU5zdHBnNmlFeUJtaHdta0tJVTNlX1B5R2JzU2FwUmt6bHp0UmhEQnBkeDVZTEtRTGZuUnVNUlg5MUNyRkVDd3B30gHPAUFVX3lxTE9tQk5zcnNPQjlzUVE2VzRCUkRpMEwyZ1VtWmItQU1IR2c2Z3RESzRxTWV2S0ZyZVVKazYyQVJfRHNkRE1IN1FOb0lVZDRzU0FRY0ZzUzJjMzBNbTVtMVc3TWRWSTA2VTdUQ1pIRDVsQ1pMQTBPZHFZNzBzNlMwOHQzNi1nZUxlR2tWSDFmYWpkNHdHSzZXbWRIQWZqUHJqakY3Q2RnYTB6S2dyb1hyY29hdlhpUmd5UTNLWVpXSVhIM2EwUVZUZlB2YXhDbjNEVQ?oc=5,0.2807
