run_at,horizon,period,days,avg_day_pnl,win_days,accuracy,random,ic,adopted
2026-09-25T16:47:46,intraday,2026-04-06 to 2026-09-25,64,13.030243999910835,0.484375,0.6875,0.5,0.017323459728809,0
2026-09-25T16:48:34,intraday_close,2026-04-06 to 2026-09-25,57,-373.3176137543868,0.2105263157894736,0.5297619047619048,0.4994463299705235,0.0444402284369015,0
2026-09-25T16:50:12,intraday,2026-04-06 to 2026-09-25,64,13.030243999910835,0.484375,0.6875,0.5,0.017323459728809,0
2026-09-25T16:50:50,intraday_close,2026-04-06 to 2026-09-25,57,-373.3176137543868,0.2105263157894736,0.5297619047619048,0.4994463299705235,0.0444402284369015,0
2026-09-25T16:52:20,intraday,2026-04-06 to 2026-09-25,64,13.030243999910835,0.484375,0.6875,0.5,0.017323459728809,0
2026-09-25T16:52:58,intraday_close,2026-04-06 to 2026-09-25,57,-373.3176137543868,0.2105263157894736,0.5297619047619048,0.4994463299705235,0.0444402284369015,0
2026-09-25T16:54:29,intraday,2026-04-06 to 2026-09-25,64,13.030243999910835,0.484375,0.6875,0.5,0.017323459728809,0
2026-09-25T16:55:10,intraday_close,2026-04-06 to 2026-09-25,57,-373.3176137543868,0.2105263157894736,0.5297619047619048,0.4994463299705235,0.0444402284369015,0
2026-09-25T16:56:40,intraday,2026-04-06 to 2026-09-25,64,13.030243999910835,0.484375,0.6875,0.5,0.017323459728809,0
2026-09-25T16:57:21,intraday_close,2026-04-06 to 2026-09-25,57,-373.3176137543868,0.2105263157894736,0.5297619047619048,0.4994463299705235,0.0444402284369015,0
2026-09-25T16:58:37,intraday,2026-04-06 to 2026-09-25,64,13.030243999910835,0.484375,0.6875,0.5,0.017323459728809,0
2026-09-25T16:59:18,intraday_close,2026-04-06 to 2026-09-25,57,-373.3176137543868,0.2105263157894736,0.5297619047619048,0.4994463299705235,0.0444402284369015,0
2026-09-25T17:01:29,intraday,2026-04-06 to 2026-09-25,64,13.030243999910835,0.484375,0.6875,0.5,0.017323459728809,0
2026-09-25T17:02:06,intraday_close,2026-04-06 to 2026-09-25,57,-373.3176137543868,0.2105263157894736,0.5297619047619048,0.4994463299705235,0.0444402284369015,0
2026-09-25T17:04:36,intraday,2026-04-06 to 2026-09-25,64,13.030243999910835,0.484375,0.6875,0.5,0.017323459728809,0
2026-09-25T17:05:14,intraday_close,2026-04-06 to 2026-09-25,57,-373.3176137543868,0.2105263157894736,0.5297619047619048,0.4994463299705235,0.0444402284369015,0
2026-09-25T17:07:22,intraday,2026-04-06 to 2026-09-25,64,13.030243999910835,0.484375,0.6875,0.5,0.017323459728809,0
2026-09-25T17:08:00,intraday_close,2026-04-06 to 2026-09-25,57,-373.3176137543868,0.2105263157894736,0.5297619047619048,0.4994463299705235,0.0444402284369015,0
2026-09-25T17:09:34,intraday,2026-04-06 to 2026-09-25,64,13.030243999910835,0.484375,0.6875,0.5,0.017323459728809,0
2026-09-25T17:10:12,intraday_close,2026-04-06 to 2026-09-25,57,-373.3176137543868,0.2105263157894736,0.5297619047619048,0.4994463299705235,0.0444402284369015,0
2026-09-25T17:11:52,intraday,2026-04-06 to 2026-09-25,64,13.030243999910835,0.484375,0.6875,0.5,0.017323459728809,0
2026-09-25T17:12:34,intraday_close,2026-04-06 to 2026-09-25,57,-373.3176137543868,0.2105263157894736,0.5297619047619048,0.4994463299705235,0.0444402284369015,0
2026-09-25T17:13:46,intraday,2026-04-06 to 2026-09-25,64,13.030243999910835,0.484375,0.6875,0.5,0.017323459728809,0
2026-09-25T17:14:27,intraday_close,2026-04-06 to 2026-09-25,57,-373.3176137543868,0.2105263157894736,0.5297619047619048,0.4994463299705235,0.0444402284369015,0
2026-09-25T17:16:13,intraday,2026-04-06 to 2026-09-25,64,13.030243999910835,0.484375,0.6875,0.5,0.017323459728809,0
2026-09-25T17:16:51,intraday_close,2026-04-06 to 2026-09-25,57,-373.3176137543868,0.2105263157894736,0.5297619047619048,0.4994463299705235,0.0444402284369015,0
2026-09-25T17:18:16,intraday,2026-04-06 to 2026-09-25,64,13.030243999910835,0.484375,0.6875,0.5,0.017323459728809,0
2026-09-25T17:18:56,intraday_close,2026-04-06 to 2026-09-25,57,-373.3176137543868,0.2105263157894736,0.5297619047619048,0.4994463299705235,0.0444402284369015,0
2026-09-25T17:20:16,intraday,2026-04-06 to 2026-09-25,64,13.030243999910835,0.484375,0.6875,0.5,0.017323459728809,0
2026-09-25T17:20:56,intraday_close,2026-04-06 to 2026-09-25,57,-373.3176137543868,0.2105263157894736,0.5297619047619048,0.4994463299705235,0.0444402284369015,0
2026-09-25T17:22:39,intraday,2026-04-06 to 2026-09-25,64,13.030243999910835,0.484375,0.6875,0.5,0.017323459728809,0
2026-09-25T17:23:27,intraday_close,2026-04-06 to 2026-09-25,57,-373.3176137543868,0.2105263157894736,0.5297619047619048,0.4994463299705235,0.0444402284369015,0
2026-09-25T17:25:02,intraday,2026-04-06 to 2026-09-25,64,13.030243999910835,0.484375,0.6875,0.5,0.017323459728809,0
2026-09-25T17:25:39,intraday_close,2026-04-06 to 2026-09-25,57,-373.3176137543868,0.2105263157894736,0.5297619047619048,0.4994463299705235,0.0444402284369015,0
2026-09-25T17:27:42,intraday,2026-04-06 to 2026-09-25,64,13.030243999910835,0.484375,0.6875,0.5,0.017323459728809,0
2026-09-25T17:28:20,intraday_close,2026-04-06 to 2026-09-25,57,-373.3176137543868,0.2105263157894736,0.5297619047619048,0.4994463299705235,0.0444402284369015,0
2026-09-25T20:38:50,intraday,2026-04-06 to 2026-09-25,47,-411.52952952602766,0.0,0.5089285714285714,0.5006457845433255,0.0236475212601179,0
2026-09-25T20:40:04,intraday_close,2026-04-06 to 2026-09-25,53,-376.1184981132069,0.2641509433962264,0.4855769230769231,0.507733571818147,0.0372179259469094,0
2026-09-25T20:42:16,intraday,2026-04-06 to 2026-09-25,47,-411.52952952602766,0.0,0.5089285714285714,0.5006457845433255,0.0236475212601179,0
2026-09-25T20:43:20,intraday_close,2026-04-06 to 2026-09-25,53,-376.1184981132069,0.2641509433962264,0.4855769230769231,0.507733571818147,0.0372179259469094,0
2026-09-25T20:45:30,intraday,2026-04-06 to 2026-09-25,47,-411.52952952602766,0.0,0.5089285714285714,0.5006457845433255,0.0236475212601179,0
2026-09-25T20:46:34,intraday_close,2026-04-06 to 2026-09-25,53,-376.1184981132069,0.2641509433962264,0.4855769230769231,0.507733571818147,0.0372179259469094,0
2026-09-25T20:48:30,intraday,2026-04-06 to 2026-09-25,47,-411.52952952602766,0.0,0.5089285714285714,0.5006457845433255,0.0236475212601179,0
2026-09-25T20:49:32,intraday_close,2026-04-06 to 2026-09-25,53,-376.1184981132069,0.2641509433962264,0.4855769230769231,0.507733571818147,0.0372179259469094,0
