run_at,horizon,round,period,days,avg_day_pnl,win_days,accuracy,random,ic,adopted
2026-09-25T16:44:45,intraday,1,2026-04-06 to 2026-09-25,64,13.030243999910835,0.484375,0.6875,0.5,0.017323459728809,0
2026-09-25T16:44:45,intraday,2,2026-04-06 to 2026-09-25,58,-200.264835503262,0.3275862068965517,0.603448275862069,0.5,0.0231087278477636,0
2026-09-25T16:44:45,intraday,3,2026-04-06 to 2026-09-25,59,-154.4966404068761,0.3898305084745763,0.6186440677966102,0.5,0.0204750562335339,0
2026-09-25T16:44:45,intraday_close,1,2026-04-06 to 2026-09-25,57,-373.3176137543868,0.2105263157894736,0.5297619047619048,0.4994463299705235,0.0444402284369015,0
2026-09-25T16:44:45,intraday_close,2,2026-04-06 to 2026-09-25,47,-413.26092544680927,0.1276595744680851,0.5126353790613718,0.4988924552828128,0.0378010851062196,0
2026-09-25T16:44:45,intraday_close,3,2026-04-06 to 2026-09-25,46,-442.2107867608706,0.1304347826086956,0.5147058823529411,0.4984197907585004,0.0414999594595205,0
2026-09-25T20:34:31,intraday,1,2026-04-06 to 2026-09-25,47,-411.52952952602766,0.0,0.5089285714285714,0.5006457845433255,0.0236475212601179,0
2026-09-25T20:34:31,intraday,2,2026-04-06 to 2026-09-25,40,-396.74931249999656,0.0,0.5223097112860893,0.5012685053712549,0.0221425029801818,0
2026-09-25T20:34:31,intraday,3,2026-04-06 to 2026-09-25,43,-388.4600662790664,0.0,0.5099502487562189,0.5034544762526166,0.0228271030533944,1
2026-09-25T20:34:31,intraday_close,1,2026-04-06 to 2026-09-25,53,-376.1184981132069,0.2641509433962264,0.4855769230769231,0.507733571818147,0.0372179259469094,0
2026-09-25T20:34:31,intraday_close,2,2026-04-06 to 2026-09-25,50,-308.32071090878287,0.26,0.5125628140703518,0.5071431583242502,0.0398293320412226,0
2026-09-25T20:34:31,intraday_close,3,2026-04-06 to 2026-09-25,49,-355.86549183673463,0.2244897959183673,0.520618556701031,0.5101556769470793,0.040107356824556,1
2026-09-25T23:15:55,intraday,1,2026-04-06 to 2026-09-25,40,-354.2837024999987,0.175,0.5064935064935064,0.5069660514923673,0.02482917851771665,0
2026-09-25T23:15:55,intraday,2,2026-04-06 to 2026-09-25,39,-317.925208974358,0.1794871794871795,0.5266666666666666,0.5169473684210525,0.023238030999855514,0
2026-09-25T23:15:55,intraday,3,2026-04-06 to 2026-09-25,38,-364.26480131578853,0.13157894736842105,0.5102040816326531,0.5171142141066953,0.021907981517842717,0
2026-09-25T23:15:55,intraday_close,1,2026-04-06 to 2026-09-25,51,-494.3434749938363,0.2549019607843137,0.535,0.5032377597840756,0.03453736702920012,0
2026-09-25T23:15:55,intraday_close,2,2026-04-06 to 2026-09-25,40,-450.6849049999999,0.3,0.5253164556962026,0.4989802012333658,0.03093497336226316,0
2026-09-25T23:15:55,intraday_close,3,2026-04-06 to 2026-09-25,40,-444.69461000000035,0.275,0.5222929936305732,0.49291712868648846,0.03236661064322216,0
