symbol,date,iep,prev_close,po_qty,buy_qty,sell_qty
IREDA,2026-09-25,109.75,110.11,10598,156628,199677
IRFC,2026-09-25,79.68,79.86,18637,190165,442920
ITC,2026-09-25,268.1,268.0,42855,214802,524901
ITCHOTELS,2026-09-25,164.8,164.01,7898,108626,284866
JINDALSTEL,2026-09-25,1154.4,1157.8,216,5444,22818
JIOFIN,2026-09-25,227.2,227.2,36832,284472,426446
JKCEMENT,2026-09-25,5165.0,5184.5,64,1085,1804
JSL,2026-09-25,738.0,738.95,83,9310,15364
JSWENERGY,2026-09-25,510.0,510.0,2202,11714,18958
JSWINFRA,2026-09-25,360.65,360.7,3744,26116,172043
JSWSTEEL,2026-09-25,1279.0,1273.2,1834,5004,20514
JUBLFOOD,2026-09-25,478.5,478.9,922,4858,23465
KALYANKJIL,2026-09-25,574.6,573.6,17616,45570,84742
KEI,2026-09-25,4636.5,4636.5,578,5185,12576
KOTAKBANK,2026-09-25,406.9,405.0,18849,47228,118181
KPITTECH,2026-09-25,517.95,516.85,3734,26036,53392
KPRMILL,2026-09-25,1118.0,1113.8,27,1306,11514
LAURUSLABS,2026-09-25,2026.0,2026.2,6497,4821,18983
LENSKART,2026-09-25,676.5,676.0,12331,26468,42162
LGEINDIA,2026-09-25,1711.0,1697.7,2455,5477,20007
LICHSGFIN,2026-09-25,564.75,564.25,2368,26680,39752
LICI,2026-09-25,404.0,406.0,9937,88924,389232
LINDEINDIA,2026-09-25,6185.0,6196.5,16,786,2079
LLOYDSME,2026-09-25,1822.0,1821.9,524,5556,116196
LODHA,2026-09-25,1150.0,1158.0,1512,8594,8090
LT,2026-09-25,3865.0,3858.4,4940,20343,27739
LTF,2026-09-25,284.95,282.0,39522,248901,93019
LTM,2026-09-25,4038.0,4038.0,197,7098,8299
LTTS,2026-09-25,3218.6,3209.1,140,1977,2900
LUPIN,2026-09-25,2091.3,2100.7,401,4002,10406
M&M,2026-09-25,2965.0,2982.7,15788,17297,16121
M&MFIN,2026-09-25,341.45,339.9,5025,19279,35244
MAHABANK,2026-09-25,82.3,82.38,15083,118299,546193
MANKIND,2026-09-25,2488.3,2500.0,946,1729,8893
MARICO,2026-09-25,822.0,824.55,640,3048,8409
MARUTI,2026-09-25,11997.0,11990.0,619,4585,4668
MAXHEALTH,2026-09-25,1050.0,1046.0,2458,9844,31839
MAZDOCK,2026-09-25,2202.0,2202.0,1976,12569,14469
MCX,2026-09-25,3463.6,3427.7,12768,45986,41031
MEDANTA,2026-09-25,1506.0,1506.2,186,2563,5900
MFSL,2026-09-25,1390.0,1410.0,8023,24074,10527
MOTHERSON,2026-09-25,162.6,162.5,34471,110802,131654
MOTILALOFS,2026-09-25,1020.0,1022.0,406,7696,46037
MPHASIS,2026-09-25,2235.0,2248.2,138,1580,2798
MRF,2026-09-25,124480.0,123985.0,7,152,222
MUTHOOTFIN,2026-09-25,2830.0,2825.3,359,11458,8009
NAM-INDIA,2026-09-25,1144.0,1144.9,316,3807,24944
NATIONALUM,2026-09-25,360.6,358.4,23888,43023,71624
NAUKRI,2026-09-25,1216.4,1224.0,1467,6724,5950
NESTLEIND,2026-09-25,1357.0,1351.0,1864,7594,7313
NHPC,2026-09-25,76.17,76.25,10091,170892,504129
NIACL,2026-09-25,180.4,180.4,7539,37657,200771
NLCINDIA,2026-09-25,263.25,263.25,843,30721,96852
NMDC,2026-09-25,80.76,80.82,22739,186882,470666
NTPC,2026-09-25,327.3,326.6,12420,60582,145613
NTPCGREEN,2026-09-25,95.43,95.43,9611,55767,379149
NYKAA,2026-09-25,335.5,335.3,5821,16122,63629
OBEROIRLTY,2026-09-25,1837.5,1837.5,289,1599,7904
OFSS,2026-09-25,10782.0,10925.0,1072,1898,7864
OIL,2026-09-25,476.0,479.0,4557,9707,66342
ONGC,2026-09-25,238.0,239.0,42473,179588,645820
PAGEIND,2026-09-25,37350.0,37500.0,17,86,663
PATANJALI,2026-09-25,404.85,404.85,5455,23738,56577
PAYTM,2026-09-25,1732.5,1735.5,4137,8146,45299
PERSISTENT,2026-09-25,5277.0,5277.0,594,2026,5234
PETRONET,2026-09-25,285.35,286.6,700,18446,57459
PFC,2026-09-25,340.0,339.35,6365,159928,123284
PHOENIXLTD,2026-09-25,1944.2,1955.0,1394,882,2462
PIDILITIND,2026-09-25,1525.0,1522.0,1315,5341,3511
PIIND,2026-09-25,2388.6,2393.5,61,2859,4521
PNB,2026-09-25,117.12,117.12,17800,457551,395291
POLICYBZR,2026-09-25,1160.0,1207.2,1186736,1104542,208185
