,model_daily,model_weekly,model_weekly_10_holdings,momentum_only,nifty50,equal_weight_nifty100
2015-04-24,107175.43,107478.62,102881.50,102948.16,98925.61,101040.56
2015-04-27,104520.75,104816.00,101212.72,101525.41,97836.32,99166.95
2015-04-28,107657.09,107957.91,102809.19,104010.11,98691.55,100670.82
2015-04-29,108876.63,109187.59,104171.78,105470.02,98145.42,100826.74
2015-04-30,111151.41,111478.59,105382.65,105708.77,97451.59,100634.45
2015-05-04,111603.07,111928.95,107042.41,108802.47,99243.64,102696.85
2015-05-05,112174.63,112501.84,107748.44,107646.65,99158.47,103083.02
2015-05-06,107898.10,108216.05,103540.53,102543.34,96445.10,99421.70
2015-05-07,104009.32,104314.67,100787.84,101191.80,95972.22,97813.42
2015-05-08,108951.22,109266.44,103272.19,105062.81,97570.71,99199.06
2015-05-11,114256.44,114588.57,105925.05,111139.69,99163.83,101456.33
2015-05-12,111806.58,112122.94,104180.97,109602.85,96801.84,99210.54
2015-05-13,114800.27,115125.51,105481.96,110734.82,98094.21,100895.66
2015-05-14,115466.54,115788.25,105385.63,112221.14,97960.20,101765.41
2015-05-15,116921.37,117242.82,106356.10,112766.36,98414.61,102175.43
2015-05-18,118477.93,118802.16,107676.58,113414.93,99740.34,103335.79
2015-05-19,116214.64,116695.71,107099.79,113002.15,99645.05,103284.65
2015-05-20,115755.72,116769.75,107072.65,114345.55,100331.13,103451.45
2015-05-21,114644.83,115282.23,107040.65,113976.99,100304.33,103296.11
2015-05-22,114940.77,116242.26,108021.29,114665.36,100756.36,103550.22
2015-05-25,115630.65,116474.86,108669.89,116297.33,99699.84,103175.47
2015-05-26,114431.02,115793.15,109097.84,116533.72,99331.77,103149.62
2015-05-27,115464.35,117880.00,110480.64,115475.49,99275.20,102992.25
2015-05-28,115880.30,117956.10,110828.49,113597.01,99089.39,102502.13
2015-05-29,119863.24,121903.87,113283.95,116675.33,100455.01,104071.99
2015-06-01,119730.77,122379.08,113562.97,116283.68,100452.03,103811.35
2015-06-02,117887.26,119584.32,110531.94,113118.41,98106.12,101311.02
2015-06-03,116599.21,118378.37,109107.30,111689.50,96898.91,99296.65
2015-06-04,117159.65,118076.43,109705.47,109590.66,96845.91,99223.91
2015-06-05,116879.65,118474.81,110266.00,109972.66,96655.93,99277.21
2015-06-08,114592.28,116288.69,108778.87,108188.24,95815.59,97815.21
2015-06-09,114126.10,118207.78,108865.84,106167.56,95556.52,97500.66
2015-06-10,116539.18,121132.93,110270.74,109106.85,96772.06,98599.72
2015-06-11,113764.96,118802.85,108618.50,106288.52,94876.99,96656.88
2015-06-12,113644.48,118277.18,108932.37,106808.29,95086.03,96771.58
2015-06-15,114145.00,119162.47,109100.96,107214.62,95455.27,96948.72
2015-06-16,114034.33,119935.30,109365.76,108115.77,95853.11,97459.95
2015-06-17,115366.16,120351.05,110722.20,110948.68,96380.18,98490.31
2015-06-18,117381.07,123231.93,111620.06,112873.55,97369.41,99226.79
2015-06-19,118161.44,124579.09,112875.01,114071.40,97969.14,100087.65
2015-06-22,118981.73,125223.66,114222.65,114626.47,99495.55,101602.07
2015-06-23,118632.27,125777.26,113875.07,115189.77,99834.43,102148.92
2015-06-24,120206.32,125726.03,113635.25,113220.44,99587.86,101393.95
2015-06-25,121046.89,126507.78,114130.87,114378.26,100030.37,101776.21
2015-06-26,120981.91,127290.19,115189.03,114992.75,99829.07,101568.86
2015-06-29,120226.03,126189.43,113874.36,113024.71,99082.24,100229.31
2015-06-30,122313.23,128221.44,115309.53,114433.26,99678.99,101137.34
2015-07-01,122720.65,129470.02,116107.76,118181.72,100686.08,102452.22
2015-07-02,123905.88,130002.92,116688.01,120234.06,100589.01,102868.94
2015-07-03,124272.39,129333.85,117008.39,116267.05,101065.46,102836.86
2015-07-06,124724.24,130437.75,117709.92,117453.02,101509.15,103558.70
2015-07-07,124228.04,129265.47,117830.19,116560.94,101373.95,103758.56
2015-07-08,122246.61,126781.72,116556.25,115313.54,99614.07,102118.57
2015-07-09,123349.71,127137.20,116651.20,116091.41,99203.14,102028.60
2015-07-10,123157.58,127036.10,116715.21,116562.49,99584.29,102115.36
2015-07-13,125965.43,129840.95,118256.27,119428.40,100764.70,103331.25
2015-07-14,125705.43,129701.81,118726.75,118960.07,100698.59,103520.89
2015-07-15,126410.91,130096.00,119307.90,119130.32,101528.80,103827.92
2015-07-16,127782.83,131232.38,120907.52,120434.56,102532.32,104927.49
2015-07-17,128296.03,133311.06,122099.89,121006.85,102553.76,105218.68
2015-07-20,127767.76,133825.51,122116.88,122370.89,102477.53,105114.92
2015-07-21,124572.38,132932.63,120554.71,122992.92,101596.10,103443.68
2015-07-22,123867.21,134635.85,121360.75,123934.56,102835.46,104561.94
2015-07-23,122199.43,134727.23,120917.42,123592.21,102314.94,104301.50
2015-07-24,120594.21,132423.63,119168.16,121668.17,101502.00,103534.97
2015-07-27,119177.88,132842.33,118640.99,120231.88,99589.66,101757.96
2015-07-28,118529.03,133730.83,119818.50,121785.32,99303.79,101401.58
2015-07-29,120648.83,135635.93,121564.99,122521.91,99757.01,101919.76
2015-07-30,120530.93,134248.15,121915.48,121687.98,100313.86,103004.87
2015-07-31,124030.76,136318.50,123856.11,122952.10,101636.59,104216.84
2015-08-03,124653.41,136971.36,125162.62,123740.50,101758.09,104736.04
