symbol,date,traded_qty,deliv_qty,deliv_pct
3MINDIA,2009-01-01,6.0,6.0,100.0
ABB,2009-01-01,186873.0,50484.0,27.02
ACC,2009-01-01,254792.0,62571.0,24.56
ADANIENT,2009-01-01,11364.0,5357.0,47.14
AIAENG,2009-01-01,11921.0,5990.0,50.25
AJANTPHARM,2009-01-01,975.0,874.0,89.64
AMBUJACEM,2009-01-01,651729.0,208558.0,32.0
APARINDS,2009-01-01,1106.0,1103.0,99.73
APOLLOHOSP,2009-01-01,30115.0,14337.0,47.61
APOLLOTYRE,2009-01-01,1266435.0,810347.0,63.99
ASHOKLEY,2009-01-01,2471829.0,871601.0,35.26
ASIANPAINT,2009-01-01,2216.0,843.0,38.04
ASTRAL,2009-01-01,11.0,0.0,0.0
AUROPHARMA,2009-01-01,93154.0,26608.0,28.56
AXISBANK,2009-01-01,1408190.0,170373.0,12.1
BAJAJ-AUTO,2009-01-01,116672.0,28720.0,24.62
BAJAJFINSV,2009-01-01,36565.0,8943.0,24.46
BAJAJHLDNG,2009-01-01,21059.0,10369.0,49.24
BALKRISIND,2009-01-01,622.0,570.0,91.64
BANKBARODA,2009-01-01,554412.0,170888.0,30.82
BANKINDIA,2009-01-01,761238.0,99332.0,13.05
BEL,2009-01-01,67966.0,51513.0,75.79
BERGEPAINT,2009-01-01,8127.0,6035.0,74.26
BHARATFORG,2009-01-01,432663.0,132487.0,30.62
BHARTIARTL,2009-01-01,1682474.0,665527.0,39.56
BHEL,2009-01-01,950159.0,267624.0,28.17
BIOCON,2009-01-01,251133.0,63952.0,25.47
BLUESTARCO,2009-01-01,7589.0,4691.0,61.81
BOSCHLTD,2009-01-01,825.0,557.0,67.52
BPCL,2009-01-01,978371.0,579954.0,59.28
BRITANNIA,2009-01-01,1073.0,482.0,44.92
CANBK,2009-01-01,182966.0,30202.0,16.51
CIPLA,2009-01-01,646225.0,323175.0,50.01
COLPAL,2009-01-01,4206.0,1990.0,47.31
CONCOR,2009-01-01,1857.0,1162.0,62.57
