symbol,date,traded_qty,deliv_qty,deliv_pct
3MINDIA,2016-01-01,400.0,295.0,73.75
ABB,2016-01-01,16523.0,11006.0,66.61
ABBOTINDIA,2016-01-01,3258.0,2120.0,65.07
ACC,2016-01-01,161982.0,46263.0,28.56
ADANIENT,2016-01-01,5974246.0,997632.0,16.7
ADANIPORTS,2016-01-01,1347893.0,405124.0,30.06
ADANIPOWER,2016-01-01,12331921.0,2575825.0,20.89
AIAENG,2016-01-01,20848.0,8658.0,41.53
AJANTPHARM,2016-01-01,108454.0,40367.0,37.22
ALKEM,2016-01-01,508347.0,136269.0,26.81
AMBUJACEM,2016-01-01,553703.0,139222.0,25.14
APARINDS,2016-01-01,15034.0,10262.0,68.26
APLAPOLLO,2016-01-01,105819.0,63961.0,60.44
APOLLOHOSP,2016-01-01,107024.0,40110.0,37.48
APOLLOTYRE,2016-01-01,1224291.0,289211.0,23.62
ASHOKLEY,2016-01-01,3473648.0,818607.0,23.57
ASIANPAINT,2016-01-01,294006.0,149531.0,50.86
ASTRAL,2016-01-01,9065.0,3602.0,39.74
AUROPHARMA,2016-01-01,851682.0,273292.0,32.09
AXISBANK,2016-01-01,3345654.0,1549760.0,46.32
BAJAJ-AUTO,2016-01-01,70853.0,15910.0,22.45
BAJAJFINSV,2016-01-01,44488.0,26122.0,58.72
BAJAJHLDNG,2016-01-01,15983.0,12244.0,76.61
BAJFINANCE,2016-01-01,30394.0,16641.0,54.75
BALKRISIND,2016-01-01,3787.0,2820.0,74.47
BANKBARODA,2016-01-01,2465469.0,522606.0,21.2
BANKINDIA,2016-01-01,1729723.0,408793.0,23.63
BEL,2016-01-01,231288.0,105030.0,45.41
BERGEPAINT,2016-01-01,181564.0,96537.0,53.17
BHARATFORG,2016-01-01,223285.0,47316.0,21.19
BHARTIARTL,2016-01-01,1250268.0,237766.0,19.02
BHEL,2016-01-01,1700815.0,335218.0,19.71
BIOCON,2016-01-01,782912.0,346997.0,44.32
BLUESTARCO,2016-01-01,18995.0,10769.0,56.69
BOSCHLTD,2016-01-01,19323.0,4830.0,25.0
BPCL,2016-01-01,276225.0,64196.0,23.24
BRITANNIA,2016-01-01,64743.0,28791.0,44.47
CANBK,2016-01-01,1549290.0,354121.0,22.86
CHOLAFIN,2016-01-01,9629.0,4789.0,49.74
CIPLA,2016-01-01,556012.0,253949.0,45.67
COALINDIA,2016-01-01,1001091.0,361396.0,36.1
COLPAL,2016-01-01,72201.0,23260.0,32.22
CONCOR,2016-01-01,515710.0,182057.0,35.3
COROMANDEL,2016-01-01,16613.0,13174.0,79.3
CRISIL,2016-01-01,2662.0,830.0,31.18
CUMMINSIND,2016-01-01,34420.0,19504.0,56.66
DABUR,2016-01-01,124367.0,25631.0,20.61
DIVISLAB,2016-01-01,100178.0,44899.0,44.82
DLF,2016-01-01,13839642.0,3148647.0,22.75
DRREDDY,2016-01-01,171860.0,46244.0,26.91
EICHERMOT,2016-01-01,59966.0,16909.0,28.2
ESCORTS,2016-01-01,335512.0,125536.0,37.42
EXIDEIND,2016-01-01,439374.0,186803.0,42.52
FEDERALBNK,2016-01-01,1233722.0,538197.0,43.62
FORTIS,2016-01-01,772204.0,300398.0,38.9
GAIL,2016-01-01,770427.0,156234.0,20.28
GLAXO,2016-01-01,1950.0,984.0,50.46
GLENMARK,2016-01-01,112028.0,46951.0,41.91
GODFRYPHLP,2016-01-01,353133.0,86105.0,24.38
GODREJCP,2016-01-01,244911.0,89254.0,36.44
GODREJIND,2016-01-01,130415.0,37776.0,28.97
GODREJPROP,2016-01-01,67496.0,41142.0,60.95
GRASIM,2016-01-01,23045.0,6782.0,29.43
HAVELLS,2016-01-01,3254573.0,850302.0,26.13
HCLTECH,2016-01-01,485196.0,291168.0,60.01
HDFCBANK,2016-01-01,798769.0,448219.0,56.11
HEROMOTOCO,2016-01-01,141582.0,72884.0,51.48
HINDALCO,2016-01-01,2806421.0,344255.0,12.27
HINDPETRO,2016-01-01,506902.0,149467.0,29.49
HINDUNILVR,2016-01-01,230366.0,86336.0,37.48
HINDZINC,2016-01-01,632558.0,170130.0,26.9
HONAUT,2016-01-01,937.0,652.0,69.58
ICICIBANK,2016-01-01,5452815.0,2325779.0,42.65
IDEA,2016-01-01,1017096.0,346052.0,34.02
INDHOTEL,2016-01-01,3602977.0,3028496.0,84.06
INDIANB,2016-01-01,118541.0,63252.0,53.36
INDIGO,2016-01-01,4914713.0,669438.0,13.62
INDUSINDBK,2016-01-01,500233.0,312110.0,62.39
INFY,2016-01-01,903275.0,331554.0,36.71
IOC,2016-01-01,625734.0,222457.0,35.55
IPCALAB,2016-01-01,37731.0,20521.0,54.39
ITC,2016-01-01,986305.0,387116.0,39.25
JINDALSTEL,2016-01-01,3403514.0,631506.0,18.55
JKCEMENT,2016-01-01,25263.0,14598.0,57.78
JSL,2016-01-01,170465.0,101042.0,59.27
JSWENERGY,2016-01-01,995432.0,200553.0,20.15
JSWSTEEL,2016-01-01,450719.0,128957.0,28.61
JUBLFOOD,2016-01-01,154601.0,65384.0,42.29
KEI,2016-01-01,374249.0,155917.0,41.66
KOTAKBANK,2016-01-01,622438.0,358207.0,57.55
KPRMILL,2016-01-01,67078.0,28586.0,42.62
LICHSGFIN,2016-01-01,725602.0,192787.0,26.57
LINDEINDIA,2016-01-01,1427.0,968.0,67.83
LT,2016-01-01,751822.0,216329.0,28.77
