symbol,date,traded_qty,deliv_qty,deliv_pct
3MINDIA,2022-01-03,4475.0,2873.0,64.2
ABB,2022-01-03,113948.0,61761.0,54.2
ABBOTINDIA,2022-01-03,9259.0,3999.0,43.19
ABCAPITAL,2022-01-03,13428542.0,5025584.0,37.42
ACC,2022-01-03,335699.0,130418.0,38.85
ADANIENT,2022-01-03,1094708.0,374691.0,34.23
ADANIGREEN,2022-01-03,130549.0,73905.0,56.61
ADANIPORTS,2022-01-03,2377227.0,858021.0,36.09
ADANIPOWER,2022-01-03,7352927.0,2816770.0,38.31
AIAENG,2022-01-03,21365.0,15559.0,72.82
AJANTPHARM,2022-01-03,62478.0,32010.0,51.23
ALKEM,2022-01-03,75821.0,46948.0,61.92
AMBUJACEM,2022-01-03,1643912.0,456270.0,27.76
APARINDS,2022-01-03,68846.0,26919.0,39.1
APLAPOLLO,2022-01-03,1230345.0,599920.0,48.76
APOLLOHOSP,2022-01-03,310798.0,116872.0,37.6
APOLLOTYRE,2022-01-03,1126982.0,379665.0,33.69
ASHOKLEY,2022-01-03,19018355.0,6253182.0,32.88
ASIANPAINT,2022-01-03,696276.0,396157.0,56.9
ASTRAL,2022-01-03,263893.0,107429.0,40.71
AUBANK,2022-01-03,1511777.0,416270.0,27.54
AUROPHARMA,2022-01-03,1091773.0,506798.0,46.42
AXISBANK,2022-01-03,8550860.0,4541759.0,53.11
BAJAJ-AUTO,2022-01-03,266680.0,97198.0,36.45
BAJAJFINSV,2022-01-03,271061.0,39677.0,14.64
BAJAJHLDNG,2022-01-03,39246.0,13072.0,33.31
BAJFINANCE,2022-01-03,1269725.0,448444.0,35.32
BALKRISIND,2022-01-03,128470.0,58197.0,45.3
BANKBARODA,2022-01-03,21177306.0,5293245.0,24.99
BANKINDIA,2022-01-03,4204439.0,1535160.0,36.51
BDL,2022-01-03,116181.0,46735.0,40.23
BEL,2022-01-03,2991447.0,1184811.0,39.61
BERGEPAINT,2022-01-03,304157.0,90955.0,29.9
BHARATFORG,2022-01-03,1177051.0,526097.0,44.7
BHARTIARTL,2022-01-03,2939833.0,1388705.0,47.24
BHEL,2022-01-03,26998477.0,6404321.0,23.72
BIOCON,2022-01-03,868445.0,220062.0,25.34
BLUESTARCO,2022-01-03,24221.0,9189.0,37.94
BOSCHLTD,2022-01-03,26614.0,7621.0,28.64
