symbol,date,traded_qty,deliv_qty,deliv_pct
3MINDIA,2019-01-01,517.0,290.0,56.09
ABB,2019-01-01,66089.0,24910.0,37.69
ABBOTINDIA,2019-01-01,968.0,624.0,64.46
ABCAPITAL,2019-01-01,968494.0,353592.0,36.51
ACC,2019-01-01,840791.0,199769.0,23.76
ADANIENT,2019-01-01,4726656.0,656893.0,13.9
ADANIGREEN,2019-01-01,105166.0,65855.0,62.62
ADANIPORTS,2019-01-01,1233249.0,102905.0,8.34
ADANIPOWER,2019-01-01,6302024.0,782027.0,12.41
AIAENG,2019-01-01,9131.0,1053.0,11.53
AJANTPHARM,2019-01-01,114936.0,8952.0,7.79
ALKEM,2019-01-01,25417.0,10123.0,39.83
AMBUJACEM,2019-01-01,1594627.0,337282.0,21.15
APARINDS,2019-01-01,2470.0,588.0,23.81
APLAPOLLO,2019-01-01,11241.0,4497.0,40.01
APOLLOHOSP,2019-01-01,292677.0,29160.0,9.96
APOLLOTYRE,2019-01-01,1125991.0,127543.0,11.33
ASHOKLEY,2019-01-01,13384173.0,2377197.0,17.76
ASIANPAINT,2019-01-01,664707.0,352333.0,53.01
ASTRAL,2019-01-01,5383.0,2309.0,42.89
AUBANK,2019-01-01,344616.0,147318.0,42.75
AUROPHARMA,2019-01-01,1340165.0,284766.0,21.25
AXISBANK,2019-01-01,12179223.0,1364047.0,11.2
BAJAJ-AUTO,2019-01-01,304150.0,27401.0,9.01
BAJAJFINSV,2019-01-01,141821.0,24254.0,17.1
BAJAJHLDNG,2019-01-01,56276.0,52597.0,93.46
BAJFINANCE,2019-01-01,917872.0,159441.0,17.37
BALKRISIND,2019-01-01,597058.0,87221.0,14.61
BANKBARODA,2019-01-01,23311973.0,2317091.0,9.94
BANKINDIA,2019-01-01,11779714.0,1321899.0,11.22
BDL,2019-01-01,13973.0,7266.0,52.0
BEL,2019-01-01,3492676.0,761459.0,21.8
BERGEPAINT,2019-01-01,277826.0,36347.0,13.08
BHARATFORG,2019-01-01,639790.0,75212.0,11.76
BHARTIARTL,2019-01-01,5513123.0,528285.0,9.58
BHEL,2019-01-01,6440421.0,972389.0,15.1
BIOCON,2019-01-01,750924.0,80687.0,10.75
BLUESTARCO,2019-01-01,7084.0,3698.0,52.2
BOSCHLTD,2019-01-01,4603.0,1386.0,30.11
BPCL,2019-01-01,1552711.0,227983.0,14.68
BRITANNIA,2019-01-01,140863.0,55321.0,39.27
BSE,2019-01-01,65090.0,41682.0,64.04
CANBK,2019-01-01,5419071.0,451029.0,8.32
CGPOWER,2019-01-01,6173722.0,1032390.0,16.72
CHOLAFIN,2019-01-01,97211.0,15781.0,16.23
