symbol,date,traded_qty,deliv_qty,deliv_pct
3MINDIA,2017-01-02,564.0,331.0,58.69
ABB,2017-01-02,13985.0,9541.0,68.22
ABBOTINDIA,2017-01-02,730.0,484.0,66.3
ACC,2017-01-02,194806.0,66762.0,34.27
ADANIENT,2017-01-02,2296460.0,442182.0,19.25
ADANIPORTS,2017-01-02,2622173.0,1165259.0,44.44
ADANIPOWER,2017-01-02,15128286.0,7341270.0,48.53
AIAENG,2017-01-02,20728.0,11434.0,55.16
AJANTPHARM,2017-01-02,99737.0,11666.0,11.7
ALKEM,2017-01-02,9913.0,6137.0,61.91
AMBUJACEM,2017-01-02,1715063.0,492049.0,28.69
APARINDS,2017-01-02,8181.0,5156.0,63.02
APLAPOLLO,2017-01-02,2915.0,1883.0,64.6
APOLLOHOSP,2017-01-02,65245.0,24652.0,37.78
APOLLOTYRE,2017-01-02,1781042.0,674191.0,37.85
ASHOKLEY,2017-01-02,12823600.0,5936025.0,46.29
ASIANPAINT,2017-01-02,1031421.0,495393.0,48.03
ASTRAL,2017-01-02,3348.0,1906.0,56.93
AUROPHARMA,2017-01-02,1185520.0,237500.0,20.03
AXISBANK,2017-01-02,3054394.0,822758.0,26.94
BAJAJ-AUTO,2017-01-02,323342.0,84661.0,26.18
BAJAJFINSV,2017-01-02,77962.0,29791.0,38.21
BAJAJHLDNG,2017-01-02,10818.0,3743.0,34.6
BAJFINANCE,2017-01-02,949967.0,190329.0,20.04
BALKRISIND,2017-01-02,50827.0,39626.0,77.96
BANKBARODA,2017-01-02,9644457.0,3357363.0,34.81
BANKINDIA,2017-01-02,1948756.0,271843.0,13.95
BEL,2017-01-02,272515.0,115428.0,42.36
BERGEPAINT,2017-01-02,174503.0,65265.0,37.4
BHARATFORG,2017-01-02,1105910.0,305679.0,27.64
BHARTIARTL,2017-01-02,1480996.0,651892.0,44.02
BHEL,2017-01-02,3236619.0,579201.0,17.9
BIOCON,2017-01-02,238424.0,31845.0,13.36
BLUESTARCO,2017-01-02,6890.0,2924.0,42.44
BOSCHLTD,2017-01-02,9070.0,1927.0,21.25
BPCL,2017-01-02,1126768.0,385204.0,34.19
BRITANNIA,2017-01-02,52245.0,22765.0,43.57
CANBK,2017-01-02,3481735.0,469433.0,13.48
CHOLAFIN,2017-01-02,70198.0,14305.0,20.38
CIPLA,2017-01-02,520139.0,228521.0,43.93
COALINDIA,2017-01-02,1729563.0,1063388.0,61.48
COLPAL,2017-01-02,177081.0,97131.0,54.85
CONCOR,2017-01-02,191209.0,128698.0,67.31
COROMANDEL,2017-01-02,372164.0,217386.0,58.41
CRISIL,2017-01-02,1735.0,909.0,52.39
CUMMINSIND,2017-01-02,74747.0,44239.0,59.18
DABUR,2017-01-02,265516.0,70107.0,26.4
DIVISLAB,2017-01-02,2246725.0,490993.0,21.85
DLF,2017-01-02,17254054.0,2073022.0,12.01
DRREDDY,2017-01-02,95526.0,25984.0,27.2
EICHERMOT,2017-01-02,67606.0,27652.0,40.9
ENDURANCE,2017-01-02,29239.0,16072.0,54.97
ESCORTS,2017-01-02,2996742.0,444904.0,14.85
EXIDEIND,2017-01-02,923408.0,349036.0,37.8
FEDERALBNK,2017-01-02,6869503.0,3760180.0,54.74
FORTIS,2017-01-02,318628.0,120483.0,37.81
GAIL,2017-01-02,1990102.0,1373356.0,69.01
GLAXO,2017-01-02,2424.0,1382.0,57.01
GLENMARK,2017-01-02,333626.0,202926.0,60.82
GODFRYPHLP,2017-01-02,134080.0,27316.0,20.37
GODREJCP,2017-01-02,122877.0,79398.0,64.62
GODREJIND,2017-01-02,125593.0,32295.0,25.71
GODREJPROP,2017-01-02,77550.0,37027.0,47.75
GRASIM,2017-01-02,322725.0,123235.0,38.19
HAVELLS,2017-01-02,753723.0,126696.0,16.81
HCLTECH,2017-01-02,421243.0,173009.0,41.07
HDFCBANK,2017-01-02,927164.0,531525.0,57.33
HEROMOTOCO,2017-01-02,213654.0,62654.0,29.32
HINDALCO,2017-01-02,9537127.0,2777311.0,29.12
HINDPETRO,2017-01-02,2857865.0,1540267.0,53.9
HINDUNILVR,2017-01-02,439748.0,262695.0,59.74
HINDZINC,2017-01-02,784038.0,121625.0,15.51
HONAUT,2017-01-02,175.0,104.0,59.43
ICICIBANK,2017-01-02,9458500.0,4654503.0,49.21
ICICIPRULI,2017-01-02,336913.0,248616.0,73.79
IDEA,2017-01-02,3312623.0,796350.0,24.04
INDHOTEL,2017-01-02,169775.0,116813.0,68.8
INDIANB,2017-01-02,275744.0,87196.0,31.62
INDIGO,2017-01-02,81275.0,40833.0,50.24
INDUSINDBK,2017-01-02,512397.0,251027.0,48.99
INFY,2017-01-02,1167611.0,574481.0,49.2
IOC,2017-01-02,2131446.0,1203898.0,56.48
IPCALAB,2017-01-02,39210.0,24501.0,62.49
ITC,2017-01-02,4887504.0,3144444.0,64.34
JINDALSTEL,2017-01-02,4895204.0,1134811.0,23.18
JKCEMENT,2017-01-02,18219.0,5968.0,32.76
JSL,2017-01-02,158956.0,88149.0,55.45
JSWENERGY,2017-01-02,1840993.0,480783.0,26.12
JSWSTEEL,2017-01-02,462136.0,49943.0,10.81
JUBLFOOD,2017-01-02,334040.0,69057.0,20.67
KEI,2017-01-02,61883.0,29325.0,47.39
KOTAKBANK,2017-01-02,1206555.0,750330.0,62.19
KPRMILL,2017-01-02,15519.0,13493.0,86.95
LAURUSLABS,2017-01-02,180715.0,58776.0,32.52
LICHSGFIN,2017-01-02,5617319.0,1905871.0,33.93
LINDEINDIA,2017-01-02,12001.0,8041.0,67.0
LT,2017-01-02,984541.0,543893.0,55.24
LTTS,2017-01-02,14651.0,9886.0,67.48
LUPIN,2017-01-02,432507.0,141510.0,32.72
M&M,2017-01-02,1053264.0,357010.0,33.9
M&MFIN,2017-01-02,1165890.0,245517.0,21.06
MAHABANK,2017-01-02,30565.0,19686.0,64.41
MARICO,2017-01-02,767759.0,417252.0,54.35
MARUTI,2017-01-02,651321.0,134496.0,20.65
MCX,2017-01-02,168892.0,71146.0,42.13
MFSL,2017-01-02,61775.0,33907.0,54.89
MOTILALOFS,2017-01-02,43368.0,21411.0,49.37
MPHASIS,2017-01-02,13995.0,5712.0,40.81
MRF,2017-01-02,8367.0,3461.0,41.36
MUTHOOTFIN,2017-01-02,144601.0,57214.0,39.57
NATIONALUM,2017-01-02,2248525.0,701853.0,31.21
NAUKRI,2017-01-02,76160.0,69838.0,91.7
NESTLEIND,2017-01-02,16376.0,9965.0,60.85
NHPC,2017-01-02,2336167.0,584995.0,25.04
NLCINDIA,2017-01-02,51313.0,23751.0,46.29
NMDC,2017-01-02,2446670.0,696430.0,28.46
NTPC,2017-01-02,2626822.0,1846505.0,70.29
OBEROIRLTY,2017-01-02,158564.0,36713.0,23.15
OFSS,2017-01-02,12590.0,5319.0,42.25
OIL,2017-01-02,411356.0,179263.0,43.58
ONGC,2017-01-02,2690448.0,1280410.0,47.59
PAGEIND,2017-01-02,7481.0,1839.0,24.58
PERSISTENT,2017-01-02,34008.0,18667.0,54.89
PETRONET,2017-01-02,481027.0,82782.0,17.21
PFC,2017-01-02,1673821.0,612127.0,36.57
PHOENIXLTD,2017-01-02,13708.0,12168.0,88.77
PIDILITIND,2017-01-02,327569.0,177647.0,54.23
PIIND,2017-01-02,30493.0,24327.0,79.78
PNB,2017-01-02,9784247.0,1727289.0,17.65
POWERGRID,2017-01-02,1019089.0,429096.0,42.11
PRESTIGE,2017-01-02,148754.0,68625.0,46.13
RADICO,2017-01-02,291240.0,135364.0,46.48
RECLTD,2017-01-02,3051333.0,949528.0,31.12
RELIANCE,2017-01-02,1622458.0,881915.0,54.36
SAIL,2017-01-02,4182027.0,956680.0,22.88
