symbol,date,traded_qty,deliv_qty,deliv_pct
3MINDIA,2018-01-01,2361.0,1170.0,49.56
ABB,2018-01-01,44720.0,23418.0,52.37
ABBOTINDIA,2018-01-01,1527.0,1164.0,76.23
ABCAPITAL,2018-01-01,2837824.0,1306242.0,46.03
ACC,2018-01-01,123565.0,42389.0,34.31
ADANIENT,2018-01-01,4220395.0,534498.0,12.66
ADANIPORTS,2018-01-01,2701537.0,1635026.0,60.52
ADANIPOWER,2018-01-01,34368848.0,5004308.0,14.56
AIAENG,2018-01-01,69536.0,59048.0,84.92
AJANTPHARM,2018-01-01,225361.0,35877.0,15.92
ALKEM,2018-01-01,30620.0,17998.0,58.78
AMBUJACEM,2018-01-01,1408955.0,620792.0,44.06
APARINDS,2018-01-01,6859.0,3060.0,44.61
APLAPOLLO,2018-01-01,20649.0,16329.0,79.08
APOLLOHOSP,2018-01-01,117565.0,34746.0,29.55
APOLLOTYRE,2018-01-01,1308125.0,244239.0,18.67
ASHOKLEY,2018-01-01,10218058.0,2089194.0,20.45
ASIANPAINT,2018-01-01,591349.0,338704.0,57.28
ASTRAL,2018-01-01,11270.0,6977.0,61.91
AUBANK,2018-01-01,92576.0,53286.0,57.56
AUROPHARMA,2018-01-01,1629631.0,614651.0,37.72
AXISBANK,2018-01-01,6943234.0,4295836.0,61.87
BAJAJ-AUTO,2018-01-01,174560.0,79453.0,45.52
BAJAJFINSV,2018-01-01,44899.0,18364.0,40.9
BAJAJHLDNG,2018-01-01,7651.0,6161.0,80.53
BAJFINANCE,2018-01-01,535319.0,287325.0,53.67
BALKRISIND,2018-01-01,195375.0,52553.0,26.9
BANKBARODA,2018-01-01,7408273.0,2376161.0,32.07
BANKINDIA,2018-01-01,4712424.0,562544.0,11.94
BEL,2018-01-01,2722272.0,1820748.0,66.88
BERGEPAINT,2018-01-01,1227447.0,303276.0,24.71
BHARATFORG,2018-01-01,372741.0,111478.0,29.91
BHARTIARTL,2018-01-01,4333190.0,1340521.0,30.94
BHEL,2018-01-01,14221778.0,4486867.0,31.55
BIOCON,2018-01-01,642155.0,148007.0,23.05
BLUESTARCO,2018-01-01,41917.0,24841.0,59.26
BOSCHLTD,2018-01-01,20401.0,10110.0,49.56
BPCL,2018-01-01,1940293.0,910182.0,46.91
BRITANNIA,2018-01-01,56160.0,28681.0,51.07
BSE,2018-01-01,256355.0,160337.0,62.54
CANBK,2018-01-01,876655.0,103761.0,11.84
CGPOWER,2018-01-01,3638378.0,1127122.0,30.98
CHOLAFIN,2018-01-01,165858.0,59349.0,35.78
CIPLA,2018-01-01,873546.0,379219.0,43.41
COALINDIA,2018-01-01,3079260.0,1865682.0,60.59
COCHINSHIP,2018-01-01,123958.0,73575.0,59.35
COLPAL,2018-01-01,334274.0,171258.0,51.23
