symbol,date,traded_qty,deliv_qty,deliv_pct
3MINDIA,2023-01-02,4561.0,3441.0,75.44
ABB,2023-01-02,135840.0,60697.0,44.68
ABBOTINDIA,2023-01-02,10873.0,6581.0,60.53
ABCAPITAL,2023-01-02,3828055.0,977329.0,25.53
ACC,2023-01-02,162920.0,53974.0,33.13
ADANIENT,2023-01-02,923051.0,189781.0,20.56
ADANIGREEN,2023-01-02,695287.0,153178.0,22.03
ADANIPORTS,2023-01-02,2042294.0,243873.0,11.94
ADANIPOWER,2023-01-02,1737675.0,881478.0,50.73
AIAENG,2023-01-02,116801.0,106728.0,91.38
AJANTPHARM,2023-01-02,71150.0,47790.0,67.17
ALKEM,2023-01-02,42669.0,13242.0,31.03
AMBUJACEM,2023-01-02,2226882.0,665732.0,29.9
APARINDS,2023-01-02,85504.0,29949.0,35.03
APLAPOLLO,2023-01-02,371517.0,131985.0,35.53
APOLLOHOSP,2023-01-02,246577.0,41504.0,16.83
APOLLOTYRE,2023-01-02,1011815.0,297591.0,29.41
ASHOKLEY,2023-01-02,16056291.0,6398376.0,39.85
ASIANPAINT,2023-01-02,1015990.0,415605.0,40.91
ASTRAL,2023-01-02,224720.0,115106.0,51.22
ATGL,2023-01-02,332645.0,77130.0,23.19
AUBANK,2023-01-02,1586054.0,681787.0,42.99
AUROPHARMA,2023-01-02,1245057.0,365933.0,29.39
AWL,2023-01-02,1904864.0,837767.0,43.98
AXISBANK,2023-01-02,3498198.0,1624181.0,46.43
BAJAJ-AUTO,2023-01-02,471328.0,196019.0,41.59
BAJAJFINSV,2023-01-02,1061404.0,325301.0,30.65
BAJAJHLDNG,2023-01-02,141578.0,58891.0,41.6
BAJFINANCE,2023-01-02,579340.0,105116.0,18.14
BALKRISIND,2023-01-02,128747.0,51972.0,40.37
BANKBARODA,2023-01-02,14679657.0,3341340.0,22.76
BANKINDIA,2023-01-02,24017164.0,5717374.0,23.81
BDL,2023-01-02,431159.0,89578.0,20.78
BEL,2023-01-02,6973552.0,2476600.0,35.51
BERGEPAINT,2023-01-02,484786.0,208679.0,43.05
BHARATFORG,2023-01-02,718239.0,194686.0,27.11
BHARTIARTL,2023-01-02,1626846.0,773421.0,47.54
BHEL,2023-01-02,18024909.0,5308278.0,29.45
